Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,1.6,7.3,21.7,0.9,7.0,8.7,7.7,7.9,0.0,1040.7,23.1
STREAMING,1.6,7.3,21.7,0.9,7.0,8.7,7.7,7.9,80.0,1041.5,22.4
H2O,1.6,7.3,21.7,0.9,7.0,8.7,7.7,7.9,80.0,1118.3,21.0
SNAPKV,1.6,7.3,21.7,0.9,7.0,8.7,7.7,7.9,80.0,1045.1,20.8
PYRAMIDKV,1.6,7.3,21.7,0.9,7.0,8.7,7.7,7.9,80.0,1051.6,21.3
ADAKV,1.6,7.3,21.7,0.9,7.0,8.7,7.7,7.9,80.0,1041.8,21.7
OURS,1.6,7.3,21.7,0.9,7.0,8.7,7.7,7.9,80.0,1061.1,21.7
