variant,sample_idx,score,word_rep,char_rep,collapsed
ours_baseline_nosink,0,18.354430379746837,0.06329113924050633,0.45564516129032256,0
ours_baseline_nosink,1,16.983523447401776,0.04861111111111111,0.510184287099903,0
ours_baseline_nosink,2,1.9834710743801651,0.9230769230769231,1.0,1
ours_baseline_nosink,3,4.2105263157894735,0.898989898989899,0.8961352657004831,1
ours_baseline_nosink,4,2.3703703703703702,0.0,0.7581699346405228,1
ours_baseline_nosink,5,12.583412774070544,0.1419753086419753,0.5757071547420965,0
ours_baseline_nosink,6,28.44444444444445,0.0379746835443038,0.5009469696969697,0
ours_baseline_nosink,7,8.445297504798464,0.3023255813953488,0.8065630397236615,1
ours_baseline_nosink,8,8.695652173913045,0.8434343434343434,0.8918032786885246,1
ours_baseline_nosink,9,10.191082802547772,0.01639344262295082,0.3233890214797136,0
ours_baseline_nosink,10,9.076682316118937,0.7754010695187166,0.9035004730368968,1
ours_baseline_nosink,11,8.995502248875562,0.7758620689655172,0.9189873417721519,1
ours_baseline_nosink,12,1.24804992199688,0.8936170212765957,0.9952,1
ours_baseline_nosink,13,8.737864077669903,0.031746031746031744,0.2913816689466484,0
ours_baseline_nosink,14,13.503649635036496,0.014388489208633094,0.4157187176835574,0
ours_baseline_nosink,15,8.945686900958465,0.9661016949152542,0.9965714285714286,1
ours_baseline_nosink,16,7.510431154381085,0.21518987341772153,0.6709558823529411,0
ours_baseline_nosink,17,12.30366492146597,0.8288770053475936,0.9401309635173059,1
ours_baseline_nosink,18,6.6783831282952555,0.7945945945945946,0.9247743229689067,1
ours_baseline_nosink,19,11.789473684210527,0.8771929824561403,1.0,1
ours_baseline_nosink,20,12.05211726384365,0.058823529411764705,0.4893162393162393,0
ours_baseline_nosink,21,20.50632911392405,0.028901734104046242,0.46943573667711597,0
ours_baseline_nosink,22,0.0,0.9333333333333333,1.0,1
ours_baseline_nosink,23,8.780487804878048,0.8955223880597015,0.927960927960928,1
ours_baseline_nosink,24,11.984021304926765,0.12154696132596685,0.5183639398998331,0
ours_baseline_nosink,25,12.23021582733813,0.013422818791946308,0.4725050916496945,0
ours_baseline_nosink,26,11.916264090177133,0.008928571428571428,0.26956521739130435,0
ours_baseline_nosink,27,6.077348066298343,0.8136645962732919,0.8248730964467005,1
ours_baseline_nosink,28,12.129380053908358,0.7769230769230769,1.0,1
ours_baseline_nosink,29,12.667946257197697,0.8818897637795275,0.9384236453201971,1
ours_plus_sink4,0,15.023474178403754,0.0650887573964497,0.4406926406926407,0
ours_plus_sink4,1,15.816326530612246,0.0851063829787234,0.5382262996941896,0
ours_plus_sink4,2,12.166172106824925,0.012903225806451613,0.368220742150333,0
ours_plus_sink4,3,10.218978102189782,0.008130081300813009,0.3572961373390558,0
ours_plus_sink4,4,12.403100775193803,0.0,0.41350210970464135,0
ours_plus_sink4,5,14.885496183206106,0.03164556962025317,0.4546271338724169,0
ours_plus_sink4,6,14.24242424242424,0.007633587786259542,0.491324200913242,0
ours_plus_sink4,7,14.010507880910684,0.0,0.3182308522114347,0
ours_plus_sink4,8,10.386473429951689,0.0,0.32065217391304346,0
ours_plus_sink4,9,17.014925373134325,0.03184713375796178,0.3644148430066603,0
ours_plus_sink4,10,13.975155279503108,0.0,0.43615107913669066,0
ours_plus_sink4,11,16.344725111441306,0.09375,0.6091173617846751,0
ours_plus_sink4,12,13.559322033898304,0.022058823529411766,0.38175675675675674,0
ours_plus_sink4,13,12.46105919003115,0.03355704697986577,0.44577205882352944,0
ours_plus_sink4,14,13.928571428571427,0.0,0.33426704014939307,0
ours_plus_sink4,15,25.080385852090032,0.0,0.29545454545454547,0
ours_plus_sink4,16,6.6945606694560675,0.0,0.20825852782764812,0
ours_plus_sink4,17,11.637347767253047,0.0379746835443038,0.46441605839416056,0
ours_plus_sink4,18,15.985130111524166,0.03571428571428571,0.4276649746192893,0
ours_plus_sink4,19,14.942528735632182,0.01910828025477707,0.35283018867924526,0
ours_plus_sink4,20,16.313213703099514,0.014492753623188406,0.311046511627907,0
ours_plus_sink4,21,13.624678663239076,0.06172839506172839,0.3578767123287671,0
ours_plus_sink4,22,12.863705972434916,0.0,0.3414387031408308,0
ours_plus_sink4,23,14.618973561430792,0.014184397163120567,0.3667334669338677,0
ours_plus_sink4,24,10.914051841746248,0.012269938650306749,0.3675675675675676,0
ours_plus_sink4,25,12.199630314232902,0.007692307692307693,0.40596094552929085,0
ours_plus_sink4,26,14.264036418816389,0.10062893081761007,0.5093046033300686,0
ours_plus_sink4,27,9.256661991584853,0.0,0.3518886679920477,0
ours_plus_sink4,28,11.466666666666667,0.0,0.24450811843361986,0
ours_plus_sink4,29,15.985790408525752,0.01935483870967742,0.40714285714285714,0
