Budget,FULLKV,ADAKV,OURS,Pct_of_FullKV_%,Δ_OURS_vs_AdaKV
10%,8.8,22.8,23.4,265.9,0.6
20%,8.8,31.6,27.1,308.0,-4.5
30%,8.8,33.9,24.4,277.3,-9.5
40%,8.8,37.0,18.8,213.6,-18.2
50%,8.8,24.9,27.6,313.6,2.7
