task,variant,sample_idx,score,word_rep,char_rep,collapsed
qmsum,adakv_baseline_nosink,0,2.8368794326241136,0.9156626506024096,0.981651376146789,1
qmsum,adakv_baseline_nosink,1,1.1764705882352942,0.8873239436619719,0.9498031496062992,1
qmsum,adakv_baseline_nosink,2,2.3391812865497075,0.9272727272727272,0.958109559613319,1
qmsum,adakv_baseline_nosink,3,2.6548672566371683,0.9065934065934066,0.9862204724409449,1
qmsum,adakv_baseline_nosink,4,1.0204081632653061,0.8895705521472392,0.9097127222982216,1
qmsum,adakv_baseline_nosink,5,1.0050251256281406,0.8850574712643678,0.9478764478764479,1
qmsum,adakv_baseline_nosink,6,0.0,0.949438202247191,1.0,1
qmsum,adakv_baseline_nosink,7,0.0,0.0,0.7773279352226721,1
qmsum,adakv_baseline_nosink,8,1.3986013986013988,0.949438202247191,1.0,1
qmsum,adakv_baseline_nosink,9,1.3157894736842104,0.9432624113475178,0.9803108808290155,1
qmsum,adakv_baseline_nosink,10,0.0,0.949438202247191,1.0,1
qmsum,adakv_baseline_nosink,11,6.25,0.0,0.7773279352226721,1
qmsum,adakv_baseline_nosink,12,8.510638297872342,0.7551020408163265,0.8325952170062002,1
qmsum,adakv_baseline_nosink,13,0.0,0.949685534591195,0.9839679358717435,1
qmsum,adakv_baseline_nosink,14,1.9417475728155338,0.9156626506024096,0.9706666666666667,1
qmsum,adakv_baseline_nosink,15,6.382978723404256,0.0,0.021505376344086023,0
qmsum,adakv_baseline_nosink,16,2.5157232704402515,0.9432624113475178,0.9803108808290155,1
qmsum,adakv_baseline_nosink,17,1.0526315789473684,0.949438202247191,1.0,1
qmsum,adakv_baseline_nosink,18,3.0769230769230766,0.0,0.0,0
qmsum,adakv_baseline_nosink,19,6.0606060606060606,0.0,0.7773279352226721,1
qmsum,adakv_baseline_nosink,20,6.25,0.0,0.0,0
qmsum,adakv_baseline_nosink,21,0.0,0.0,0.0,0
qmsum,adakv_baseline_nosink,22,0.0,0.8850574712643678,0.9478764478764479,1
qmsum,adakv_baseline_nosink,23,1.8957345971563981,0.9065934065934066,0.9862204724409449,1
qmsum,adakv_baseline_nosink,24,2.0408163265306127,0.0,0.0,0
qmsum,adakv_baseline_nosink,25,2.0,0.9104477611940298,0.966933867735471,1
qmsum,adakv_baseline_nosink,26,3.6036036036036037,0.0,0.0,0
qmsum,adakv_baseline_nosink,27,0.0,0.949438202247191,1.0,1
qmsum,adakv_baseline_nosink,28,0.9803921568627451,0.9325842696629213,0.9879182156133829,1
qmsum,adakv_baseline_nosink,29,2.843601895734597,0.9432624113475178,0.9803108808290155,1
qmsum,adakv_plus_sink4,0,10.0,0.06666666666666667,0.5160857908847185,0
qmsum,adakv_plus_sink4,1,7.526881720430108,0.023952095808383235,0.3915050784856879,0
qmsum,adakv_plus_sink4,2,7.734806629834254,0.023809523809523808,0.3850630455868089,0
qmsum,adakv_plus_sink4,3,9.574468085106384,0.020833333333333332,0.5111583421891605,0
qmsum,adakv_plus_sink4,4,7.142857142857142,0.018867924528301886,0.43996062992125984,0
qmsum,adakv_plus_sink4,5,9.183673469387754,0.05625,0.5895652173913043,0
qmsum,adakv_plus_sink4,6,8.040201005025125,0.08024691358024691,0.5330739299610895,0
qmsum,adakv_plus_sink4,7,3.75,0.055900621118012424,0.43100189035916825,0
qmsum,adakv_plus_sink4,8,5.442176870748299,0.11724137931034483,0.6184971098265896,0
qmsum,adakv_plus_sink4,9,7.8125,0.00909090909090909,0.3709677419354839,0
qmsum,adakv_plus_sink4,10,8.450704225352112,0.010752688172043012,0.2865761689291101,0
qmsum,adakv_plus_sink4,11,4.8484848484848495,0.055900621118012424,0.43100189035916825,0
qmsum,adakv_plus_sink4,12,12.121212121212123,0.08227848101265822,0.5197066911090742,0
qmsum,adakv_plus_sink4,13,7.368421052631578,0.08053691275167785,0.5374211000901713,0
qmsum,adakv_plus_sink4,14,10.628019323671499,0.01282051282051282,0.36415633937082936,0
qmsum,adakv_plus_sink4,15,14.444444444444446,0.024,0.3756038647342995,0
qmsum,adakv_plus_sink4,16,11.851851851851853,0.00909090909090909,0.3709677419354839,0
qmsum,adakv_plus_sink4,17,13.924050632911392,0.010752688172043012,0.2865761689291101,0
qmsum,adakv_plus_sink4,18,10.0,0.027777777777777776,0.39893048128342246,0
qmsum,adakv_plus_sink4,19,6.030150753768844,0.055900621118012424,0.43100189035916825,0
qmsum,adakv_plus_sink4,20,12.087912087912086,0.03225806451612903,0.3959537572254335,0
qmsum,adakv_plus_sink4,21,8.60215053763441,0.04054054054054054,0.5259326660600546,0
qmsum,adakv_plus_sink4,22,6.896551724137932,0.05625,0.5895652173913043,0
qmsum,adakv_plus_sink4,23,5.780346820809249,0.020833333333333332,0.5111583421891605,0
qmsum,adakv_plus_sink4,24,14.592274678111588,0.012195121951219513,0.3781818181818182,0
qmsum,adakv_plus_sink4,25,8.284023668639053,0.012048192771084338,0.3521739130434783,0
qmsum,adakv_plus_sink4,26,12.22707423580786,0.03225806451612903,0.3959537572254335,0
qmsum,adakv_plus_sink4,27,9.375000000000002,0.08024691358024691,0.5330739299610895,0
qmsum,adakv_plus_sink4,28,6.796116504854369,0.03680981595092025,0.41424802110817943,0
qmsum,adakv_plus_sink4,29,18.18181818181818,0.00909090909090909,0.3709677419354839,0
gov_report,adakv_baseline_nosink,0,11.075949367088606,0.7978723404255319,0.9457436856875585,1
gov_report,adakv_baseline_nosink,1,11.543287327478042,0.8373493975903614,0.9519071310116086,1
gov_report,adakv_baseline_nosink,2,13.843888070692193,0.807909604519774,0.9276985743380856,1
gov_report,adakv_baseline_nosink,3,3.9215686274509802,0.9191919191919192,0.9744525547445255,1
gov_report,adakv_baseline_nosink,4,0.3003003003003003,0.0,0.8589341692789969,1
gov_report,adakv_baseline_nosink,5,2.5500910746812386,0.979381443298969,0.9824263038548753,1
gov_report,adakv_baseline_nosink,6,16.983894582723284,0.8888888888888888,1.0,1
gov_report,adakv_baseline_nosink,7,0.0,0.98989898989899,0.9983240223463687,1
gov_report,adakv_baseline_nosink,8,12.771084337349398,0.5480225988700564,0.832427536231884,1
gov_report,adakv_baseline_nosink,9,14.414414414414415,0.8324324324324325,0.9401785714285714,1
gov_report,adakv_baseline_nosink,10,9.30232558139535,0.8279569892473119,0.9387755102040817,1
gov_report,adakv_baseline_nosink,11,12.213740458015266,0.6423841059602649,0.8838334946757018,1
gov_report,adakv_baseline_nosink,12,0.2557544757033248,0.98989898989899,0.9974853310980721,1
gov_report,adakv_baseline_nosink,13,20.09273570324575,0.9470588235294117,0.9863013698630136,1
gov_report,adakv_baseline_nosink,14,10.080645161290324,0.7160493827160493,0.8970588235294118,1
gov_report,adakv_baseline_nosink,15,13.571428571428573,0.8936170212765957,1.0,1
gov_report,adakv_baseline_nosink,16,3.4993270524899063,0.924812030075188,1.0,1
gov_report,adakv_baseline_nosink,17,3.7410071942446046,0.924812030075188,1.0,1
gov_report,adakv_baseline_nosink,18,9.285714285714286,0.8352941176470589,0.9757225433526011,1
gov_report,adakv_baseline_nosink,19,4.127579737335835,0.9336734693877551,0.9755656108597285,1
gov_report,adakv_baseline_nosink,20,5.263157894736842,0.8625,0.9787644787644788,1
gov_report,adakv_baseline_nosink,21,7.507507507507507,0.02564102564102564,0.5665584415584416,0
gov_report,adakv_baseline_nosink,22,0.0,0.0,0.9554455445544554,1
gov_report,adakv_baseline_nosink,23,7.131782945736434,0.9027027027027027,0.9767441860465116,1
gov_report,adakv_baseline_nosink,24,3.2640949554896146,0.923728813559322,0.9633204633204633,1
gov_report,adakv_baseline_nosink,25,15.714285714285714,0.851063829787234,0.9658203125,1
gov_report,adakv_baseline_nosink,26,6.0882800608828,0.7349397590361446,0.8725,1
gov_report,adakv_baseline_nosink,27,12.26158038147139,0.8988095238095238,0.9408766564729868,1
gov_report,adakv_baseline_nosink,28,12.580231065468547,0.8659217877094972,0.9341050756901158,1
gov_report,adakv_baseline_nosink,29,3.211009174311927,0.36363636363636365,0.9249146757679181,1
gov_report,adakv_plus_sink4,0,14.23841059602649,0.008130081300813009,0.31521739130434784,0
gov_report,adakv_plus_sink4,1,11.183355006501952,0.007692307692307693,0.4011363636363636,0
gov_report,adakv_plus_sink4,2,13.233082706766917,0.006896551724137931,0.2980269989615784,0
gov_report,adakv_plus_sink4,3,11.76470588235294,0.006060606060606061,0.45166959578207383,0
gov_report,adakv_plus_sink4,4,11.210191082802549,0.08088235294117647,0.4366952789699571,0
gov_report,adakv_plus_sink4,5,11.76470588235294,0.013793103448275862,0.35763546798029555,0
gov_report,adakv_plus_sink4,6,16.143497757847534,0.006802721088435374,0.4172727272727273,0
gov_report,adakv_plus_sink4,7,11.864406779661017,0.00684931506849315,0.33240997229916897,0
gov_report,adakv_plus_sink4,8,11.510791366906474,0.011976047904191617,0.4429065743944637,0
gov_report,adakv_plus_sink4,9,9.202453987730062,0.006993006993006993,0.29447236180904524,0
gov_report,adakv_plus_sink4,10,15.210355987055015,0.007518796992481203,0.31351351351351353,0
gov_report,adakv_plus_sink4,11,18.3206106870229,0.08823529411764706,0.5631469979296067,0
gov_report,adakv_plus_sink4,12,12.483039348710992,0.01764705882352941,0.329700272479564,0
gov_report,adakv_plus_sink4,13,10.658307210031348,0.007142857142857143,0.3674418604651163,0
gov_report,adakv_plus_sink4,14,13.309352517985609,0.006896551724137931,0.35673076923076924,0
gov_report,adakv_plus_sink4,15,23.05295950155763,0.03007518796992481,0.39887005649717516,0
gov_report,adakv_plus_sink4,16,11.719745222929937,0.0,0.3504117108874657,0
gov_report,adakv_plus_sink4,17,12.51700680272109,0.0,0.24854368932038834,0
gov_report,adakv_plus_sink4,18,14.414414414414411,0.05925925925925926,0.4343220338983051,0
gov_report,adakv_plus_sink4,19,14.313346228239846,0.0,0.3484848484848485,0
gov_report,adakv_plus_sink4,20,11.38211382113821,0.041666666666666664,0.3790720631786772,0
gov_report,adakv_plus_sink4,21,12.191958495460439,0.045454545454545456,0.4128686327077748,0
gov_report,adakv_plus_sink4,22,14.110429447852763,0.02112676056338028,0.39591836734693875,0
gov_report,adakv_plus_sink4,23,13.476263399693721,0.02666666666666667,0.4007060900264784,0
gov_report,adakv_plus_sink4,24,10.647482014388489,0.0,0.24651810584958217,0
gov_report,adakv_plus_sink4,25,17.391304347826086,0.03550295857988166,0.4231782265144864,0
gov_report,adakv_plus_sink4,26,13.274336283185843,0.06666666666666667,0.48851590106007065,0
gov_report,adakv_plus_sink4,27,13.464235624123418,0.050724637681159424,0.5297805642633229,0
gov_report,adakv_plus_sink4,28,12.6514131897712,0.0,0.30808597748208805,0
gov_report,adakv_plus_sink4,29,13.403880070546737,0.03773584905660377,0.5127504553734062,0
