Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,12.6,12.6,0.0,1902.2,19.3
STREAMING,30.0,30.0,80.0,1177.9,22.5
H2O,7.6,7.6,80.0,1208.7,24.6
SNAPKV,0.0,0.0,0.0,0.0,0.0
PYRAMIDKV,0.0,0.0,0.0,0.0,0.0
ADAKV,3.3,3.3,80.0,1199.0,23.3
OURS,0.0,0.0,80.0,1234.1,23.7
