Method,narrativeqa,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,0.0,0.0,0.0,3161.6,4.7
ADAKV,0.0,0.0,80.0,2825.0,4.9
OURS,0.0,0.0,80.0,2800.2,4.9
