Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,1.6,7.3,21.7,0.9,7.0,8.7,7.7,7.9,0.0,1041.8,22.4
STREAMING,2.2,5.3,20.2,0.0,6.9,9.2,9.8,7.7,80.0,1023.6,27.4
H2O,2.2,5.3,20.2,0.0,6.9,9.2,9.8,7.7,80.0,1056.9,28.2
SNAPKV,2.2,5.3,20.2,0.0,6.9,9.2,9.8,7.7,80.0,1022.7,27.8
PYRAMIDKV,1.3,5.1,16.5,0.0,7.4,8.2,7.1,6.5,80.0,1027.0,27.7
ADAKV,2.2,5.3,20.2,0.0,6.9,9.2,9.8,7.7,80.0,1020.5,28.2
OURS,2.2,5.3,20.2,0.0,6.9,9.2,9.8,7.7,80.0,1040.4,27.9
