Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1348.9,13.9
STREAMING,61.5,61.5,80.0,656.6,23.3
H2O,0.8,0.8,80.0,726.0,21.1
SNAPKV,75.9,75.9,80.0,664.7,23.3
PYRAMIDKV,0.9,0.9,80.0,658.1,22.1
ADAKV,0.0,0.0,80.0,676.4,26.0
OURS,0.6,0.6,80.0,709.2,25.3
