Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,0.0,0.0,0.0,1101.5,0.0
STREAMING,0.0,0.0,80.0,832.5,0.0
H2O,0.0,0.0,80.0,823.7,0.0
SNAPKV,0.0,0.0,80.0,831.0,0.0
PYRAMIDKV,0.0,0.0,80.0,850.5,0.0
ADAKV,0.0,0.0,80.0,826.0,0.0
OURS,0.0,0.0,80.0,885.0,0.0
