Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1331.8,12.9
STREAMING,50.8,50.8,80.0,675.8,18.2
H2O,18.9,18.9,80.0,750.9,18.1
SNAPKV,0.0,0.0,80.0,1099.9,2.2
PYRAMIDKV,40.6,40.6,80.0,707.4,16.6
ADAKV,26.4,26.4,80.0,698.4,17.5
OURS,29.2,29.2,80.0,804.3,20.0
