Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,6.9,6.9,0.0,1413.4,23.1
STREAMING,15.0,15.0,80.0,1253.1,23.5
H2O,3.8,3.8,80.0,1204.2,24.1
SNAPKV,0.0,0.0,0.0,0.0,0.0
PYRAMIDKV,0.0,0.0,0.0,0.0,0.0
ADAKV,2.3,2.3,80.0,1150.1,23.3
OURS,0.0,0.0,80.0,1357.8,17.1
