Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,10.9,21.7,41.7,9.9,11.6,14.8,10.4,17.3,0.0,1038.7,19.1
STREAMING,11.6,19.9,29.8,18.4,13.6,13.0,8.9,16.5,80.0,1293.7,17.1
H2O,11.3,12.4,29.5,11.3,18.9,8.7,6.6,14.1,80.0,1410.5,15.5
SNAPKV,9.6,10.0,24.5,7.4,19.3,9.2,4.8,12.1,80.0,1528.4,14.6
PYRAMIDKV,7.3,9.4,22.5,6.2,12.3,0.0,5.4,9.0,80.0,1469.0,13.0
ADAKV,9.1,16.1,25.2,7.7,9.8,13.6,9.6,13.0,80.0,1485.2,18.8
OURS,12.2,12.5,25.5,10.4,19.5,10.2,3.2,13.3,80.0,3302.4,12.2
