Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1368.0,14.0
STREAMING,66.7,66.7,80.0,666.2,15.4
H2O,15.6,15.6,80.0,771.7,18.5
SNAPKV,0.0,0.0,80.0,1138.4,2.2
PYRAMIDKV,45.2,45.2,80.0,670.5,15.3
ADAKV,61.5,61.5,80.0,713.6,12.6
OURS,28.9,28.9,80.0,728.0,16.9
