Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,19.3,19.3,0.0,1671.5,20.1
STREAMING,0.0,0.0,80.0,1160.2,28.2
H2O,1.1,1.1,80.0,1213.8,27.4
SNAPKV,0.0,0.0,80.0,1167.7,28.0
PYRAMIDKV,0.7,0.7,80.0,1181.6,27.7
ADAKV,0.0,0.0,92.0,1187.3,27.4
OURS,0.6,0.6,92.0,1519.6,27.0
