method,seq_length,prefill_ms,compress_ms,total_ms,mem_reduction_%
fullkv,1887,499.8,0.0,499.8,0.0
adakv,1887,268.8,275.6,544.4,80.0
ours,1887,265.7,274.0,539.7,80.0
fullkv,3732,739.3,0.0,739.3,0.0
adakv,3732,743.3,624.2,1367.5,80.0
ours,3732,744.3,646.8,1391.1,80.0
fullkv,7422,2847.8,0.0,2847.8,0.0
adakv,7422,2803.2,1794.7,4597.9,80.0
ours,7422,2730.3,1827.5,4557.8,80.0
