Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,19.3,19.3,0.0,1656.5,20.5
STREAMING,20.4,20.4,80.0,1171.4,20.0
H2O,8.2,8.2,80.0,1208.8,24.4
SNAPKV,4.9,4.9,80.0,1285.2,26.5
PYRAMIDKV,21.8,21.8,80.0,1200.5,19.0
ADAKV,12.2,12.2,80.0,1196.7,21.5
OURS,4.7,4.7,80.0,1228.4,25.2
