Budget,FULLKV,ADAKV,OURS,Pct_of_FullKV_%,Δ_OURS_vs_AdaKV
10%,19.3,2.7,3.9,20.2,1.2
20%,19.3,11.6,29.9,154.9,18.3
30%,19.3,8.1,15.7,81.3,7.6
