Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,0.0,19.3,80.0,0.0,0.0,19.9,6.2,17.9,0.0,2901.1,12.2
STREAMING,13.3,20.4,66.7,0.0,0.0,21.1,5.8,18.2,80.0,2750.9,13.8
H2O,0.0,8.2,15.6,100.0,0.0,25.0,3.5,21.8,80.0,2868.4,14.1
SNAPKV,0.0,4.9,0.0,100.0,0.0,20.9,8.0,19.1,80.0,2864.9,12.3
PYRAMIDKV,0.0,21.8,45.2,0.0,0.0,16.6,5.6,12.8,80.0,2790.8,13.6
ADAKV,0.0,9.1,0.0,0.0,0.0,0.0,7.9,2.4,80.0,2849.6,10.4
OURS,0.0,29.9,20.2,100.0,0.0,17.4,7.3,25.0,80.0,2996.6,14.3
