Config,qasper,Avg,Δ vs Default
λ=0.5,16.7,16.7,0.0
λ=1.0 (기본값),13.3,13.3,-3.4
λ=2.0,18.2,18.2,1.5
"Default (0.40,0.20,0.20,0.20)",13.3,13.3,0.0
"Uniform (0.25,0.25,0.25,0.25)",0.8,0.8,-12.5
"Attn-Heavy (0.55,0.15,0.15,0.15)",33.3,33.3,20.0
