Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,9.3,26.3,44.9,19.0,15.7,16.1,11.4,20.4,0.0,1611.4,19.4
STREAMING,7.8,16.2,27.8,22.9,22.1,17.1,9.7,17.7,80.0,1530.1,15.4
H2O,7.7,20.9,27.8,15.7,20.8,16.2,8.5,16.8,80.0,1655.3,16.1
SNAPKV,7.2,10.8,31.9,16.6,16.7,16.5,7.4,15.3,80.0,1713.7,15.6
PYRAMIDKV,7.6,19.3,29.7,15.4,29.2,15.9,8.3,17.9,80.0,1642.5,17.4
ADAKV,7.6,19.3,34.5,15.4,29.2,15.8,8.2,18.6,80.0,1648.8,17.7
OURS,7.6,17.6,28.3,16.0,19.6,17.2,8.1,16.3,80.0,1731.8,16.8
