Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,15.9,15.1,29.8,0.0,8.0,16.4,9.8,13.6,0.0,3919.9,5.5
STREAMING,8.2,6.3,34.7,40.0,13.7,16.4,9.3,18.4,75.4,5512.4,6.1
H2O,6.0,7.8,29.3,40.0,23.6,15.8,5.5,18.3,80.0,5979.0,6.9
SNAPKV,4.2,1.6,20.2,42.1,22.8,14.4,8.7,16.3,80.0,7184.3,6.1
PYRAMIDKV,7.4,3.3,28.7,60.0,26.7,15.8,6.2,21.1,80.0,6287.5,7.4
ADAKV,7.4,3.3,28.7,60.0,25.9,15.8,6.2,21.0,80.0,6274.4,7.5
OURS,9.7,14.3,45.8,40.0,21.3,14.4,7.0,21.8,80.0,7711.3,6.7
