Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1388.9,13.7
STREAMING,66.7,66.7,80.0,647.7,18.8
H2O,15.6,15.6,80.0,691.4,23.5
SNAPKV,0.0,0.0,80.0,1057.4,2.2
PYRAMIDKV,45.2,45.2,80.0,677.0,15.0
ADAKV,0.0,0.0,80.0,739.7,8.8
OURS,20.2,20.2,80.0,693.7,25.3
