Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,19.3,19.3,0.0,1939.2,18.7
STREAMING,20.4,20.4,80.0,1178.9,17.5
H2O,8.2,8.2,80.0,1268.2,20.8
SNAPKV,4.9,4.9,80.0,1169.4,25.2
PYRAMIDKV,11.6,11.6,80.0,1170.6,24.2
ADAKV,11.6,11.6,80.0,1191.9,24.6
OURS,29.9,29.9,80.0,1231.1,21.7
