Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1251.6,15.3
STREAMING,66.7,66.7,80.0,765.0,17.0
H2O,15.6,15.6,80.0,699.3,22.7
SNAPKV,0.0,0.0,80.0,1060.2,2.2
PYRAMIDKV,45.2,45.2,80.0,679.1,14.5
ADAKV,61.5,61.5,80.0,695.3,13.2
OURS,28.9,28.9,80.0,711.1,19.7
