variant,sample_idx,score,word_rep,char_rep,collapsed
streaming_sink4_orig,0,5.925925925925926,0.0072992700729927005,0.23754345307068367,0
streaming_sink4_orig,1,11.518324607329845,0.012121212121212121,0.35942028985507246,0
streaming_sink4_orig,2,6.024096385542169,0.006535947712418301,0.3785140562248996,0
streaming_sink4_orig,3,11.111111111111112,0.0,0.3327272727272727,0
streaming_sink4_orig,4,6.4,0.0,0.15045592705167174,0
streaming_sink4_orig,5,5.0761421319796955,0.012345679012345678,0.4160337552742616,0
streaming_sink4_orig,6,11.956521739130435,0.02702702702702703,0.30306345733041573,0
streaming_sink4_orig,7,3.9215686274509802,0.012903225806451613,0.3597989949748744,0
streaming_sink4_orig,8,5.988023952095808,0.006289308176100629,0.4682752457551385,0
streaming_sink4_orig,9,3.448275862068966,0.0,0.23355263157894737,0
streaming_sink4_orig,10,6.185567010309277,0.01948051948051948,0.41750227894257064,0
streaming_sink4_orig,11,6.329113924050632,0.012903225806451613,0.3597989949748744,0
streaming_sink4_orig,12,11.38211382113821,0.023529411764705882,0.46308186195826645,0
streaming_sink4_orig,13,6.7114093959731544,0.00980392156862745,0.22589928057553957,0
streaming_sink4_orig,14,13.496932515337424,0.0,0.22801788375558868,0
streaming_sink4_orig,15,15.74074074074074,0.006289308176100629,0.2800387596899225,0
streaming_sink4_orig,16,14.634146341463417,0.0,0.23355263157894737,0
streaming_sink4_orig,17,7.619047619047619,0.01948051948051948,0.41750227894257064,0
streaming_sink4_orig,18,6.779661016949152,0.013513513513513514,0.2635135135135135,0
streaming_sink4_orig,19,8.333333333333332,0.012903225806451613,0.3597989949748744,0
streaming_sink4_orig,20,9.16030534351145,0.011494252873563218,0.26411960132890366,0
streaming_sink4_orig,21,10.999999999999998,0.0,0.26220614828209765,0
streaming_sink4_orig,22,4.571428571428571,0.012345679012345678,0.4160337552742616,0
streaming_sink4_orig,23,8.955223880597012,0.0,0.3327272727272727,0
streaming_sink4_orig,24,16.379310344827587,0.0,0.30728709394205445,0
streaming_sink4_orig,25,5.633802816901408,0.014598540145985401,0.31585081585081587,0
streaming_sink4_orig,26,12.359550561797752,0.011494252873563218,0.26411960132890366,0
streaming_sink4_orig,27,11.299435028248588,0.02702702702702703,0.30306345733041573,0
streaming_sink4_orig,28,8.780487804878048,0.018404907975460124,0.3209764918625678,0
streaming_sink4_orig,29,13.714285714285715,0.0,0.23355263157894737,0
streaming_sink0_purerecency,0,2.9411764705882355,0.8848920863309353,0.9940688018979834,1
streaming_sink0_purerecency,1,3.278688524590164,0.8650306748466258,1.0,1
streaming_sink0_purerecency,2,5.063291139240507,0.8734177215189873,1.0,1
streaming_sink0_purerecency,3,5.9405940594059405,0.21875,0.5771428571428572,0
streaming_sink0_purerecency,4,5.405405405405406,0.0,0.0,0
streaming_sink0_purerecency,5,9.815950920245399,0.125,0.4869791666666667,0
streaming_sink0_purerecency,6,1.0526315789473684,0.891566265060241,0.9822380106571936,1
streaming_sink0_purerecency,7,3.7735849056603774,0.010101010101010102,0.32300163132137033,0
streaming_sink0_purerecency,8,1.4925373134328357,0.9431818181818182,0.9861431870669746,1
streaming_sink0_purerecency,9,1.3071895424836601,0.9647887323943662,1.0,1
streaming_sink0_purerecency,10,3.1746031746031744,0.0,0.21818181818181817,0
streaming_sink0_purerecency,11,5.405405405405405,0.010101010101010102,0.32300163132137033,0
streaming_sink0_purerecency,12,2.061855670103093,0.0,0.0,0
streaming_sink0_purerecency,13,11.538461538461538,0.38738738738738737,0.7507936507936508,1
streaming_sink0_purerecency,14,3.0000000000000004,0.9050632911392406,1.0,1
streaming_sink0_purerecency,15,17.391304347826086,0.0,0.31556503198294245,0
streaming_sink0_purerecency,16,1.25,0.9647887323943662,1.0,1
