task,budget,variant,sample_idx,score,word_rep,char_rep,collapsed
narrativeqa,0.8,baseline_nosink,5,4.444444444444445,0.041666666666666664,0.22761194029850745,0
narrativeqa,0.8,baseline_nosink,6,0.0,0.0,0.0,0
narrativeqa,0.8,baseline_nosink,7,13.333333333333334,0.0,0.0,0
narrativeqa,0.8,baseline_nosink,8,33.333333333333336,0.0,0.0,0
narrativeqa,0.8,baseline_nosink,9,4.0,0.3148148148148148,0.6881720430107527,1
narrativeqa,0.8,baseline_nosink,10,7.8431372549019605,0.0,0.13523131672597866,0
narrativeqa,0.8,baseline_nosink,11,0.0,0.0,0.2692307692307692,0
narrativeqa,0.8,baseline_nosink,12,0.0,0.0,0.047619047619047616,0
narrativeqa,0.8,baseline_nosink,13,72.72727272727272,0.0,0.0,0
narrativeqa,0.8,baseline_nosink,14,26.666666666666668,0.0,0.0,0
narrativeqa,0.8,baseline_nosink,15,0.0,0.0,0.14883720930232558,0
narrativeqa,0.8,baseline_nosink,16,0.0,0.0,0.21951219512195122,0
narrativeqa,0.8,baseline_nosink,17,3.9215686274509802,0.0,0.1282051282051282,0
narrativeqa,0.8,baseline_nosink,18,3.7735849056603774,0.0,0.13494809688581316,0
narrativeqa,0.8,baseline_nosink,19,7.8431372549019605,0.0,0.10996563573883161,0
narrativeqa,0.8,baseline_nosink,20,10.0,0.09615384615384616,0.496551724137931,0
narrativeqa,0.8,baseline_nosink,21,50.0,0.0,0.10256410256410256,0
narrativeqa,0.8,baseline_nosink,22,0.0,0.0,0.0,0
narrativeqa,0.8,baseline_nosink,23,7.8431372549019605,0.0,0.13257575757575757,0
narrativeqa,0.8,baseline_nosink,24,4.347826086956522,0.08333333333333333,0.42586750788643535,0
narrativeqa,0.8,baseline_nosink,25,18.75,0.029411764705882353,0.22560975609756098,0
narrativeqa,0.8,baseline_nosink,26,28.571428571428577,0.0,0.0,0
narrativeqa,0.8,baseline_nosink,27,36.36363636363636,0.0,0.0,0
narrativeqa,0.8,baseline_nosink,28,10.344827586206897,0.017857142857142856,0.2553191489361702,0
narrativeqa,0.8,baseline_nosink,29,0.0,0.0,0.05405405405405406,0
narrativeqa,0.8,plus_sink4,0,0.0,0.0,0.0,0
narrativeqa,0.8,plus_sink4,1,16.12903225806452,0.03508771929824561,0.19314641744548286,0
narrativeqa,0.8,plus_sink4,2,0.0,0.0,0.10877192982456141,0
narrativeqa,0.8,plus_sink4,3,8.0,0.0,0.051094890510948905,0
narrativeqa,0.8,plus_sink4,4,18.181818181818183,0.0,0.0,0
narrativeqa,0.8,plus_sink4,5,16.666666666666664,0.0,0.0,0
narrativeqa,0.8,plus_sink4,6,0.0,0.0,0.0,0
narrativeqa,0.8,plus_sink4,7,14.285714285714288,0.0,0.0,0
narrativeqa,0.8,plus_sink4,8,33.333333333333336,0.0,0.0,0
narrativeqa,0.8,plus_sink4,9,7.8431372549019605,0.0,0.17218543046357615,0
narrativeqa,0.8,plus_sink4,10,7.4074074074074066,0.0,0.28308823529411764,0
narrativeqa,0.8,plus_sink4,11,0.0,0.0,0.24262295081967214,0
narrativeqa,0.8,plus_sink4,12,0.0,0.0,0.10285714285714286,0
narrativeqa,0.8,plus_sink4,13,72.72727272727272,0.0,0.0,0
narrativeqa,0.8,plus_sink4,14,26.666666666666668,0.0,0.0,0
