task,method,variant,sample_idx,score,word_rep,char_rep,collapsed
qmsum,ours,baseline_nosink,0,7.792207792207792,0.0,0.3888888888888889,0
qmsum,ours,baseline_nosink,1,13.471502590673575,0.03636363636363636,0.43768400392541706,0
qmsum,ours,baseline_nosink,2,8.510638297872342,0.05042016806722689,0.4582278481012658,0
qmsum,ours,baseline_nosink,3,11.347517730496454,0.024096385542168676,0.43315508021390375,0
qmsum,ours,baseline_nosink,4,4.166666666666667,0.032,0.4371859296482412,0
qmsum,ours,baseline_nosink,5,3.2432432432432425,0.007246376811594203,0.32222222222222224,0
qmsum,ours,baseline_nosink,6,7.51173708920188,0.5084745762711864,0.7255460588793922,1
qmsum,ours,baseline_nosink,7,3.680981595092024,0.0875,0.5124875124875125,0
qmsum,ours,baseline_nosink,8,7.142857142857142,0.18446601941747573,0.6367583212735166,0
qmsum,ours,baseline_nosink,9,10.0,0.041237113402061855,0.36688311688311687,0
qmsum,ours,baseline_nosink,10,8.187134502923977,0.023255813953488372,0.591321897073663,0
qmsum,ours,baseline_nosink,11,5.9523809523809526,0.0875,0.5124875124875125,0
qmsum,ours,baseline_nosink,12,13.592233009708737,0.045454545454545456,0.5281933256616801,0
qmsum,ours,baseline_nosink,13,8.917197452229301,0.0,0.24484181568088034,0
qmsum,ours,baseline_nosink,14,19.35483870967742,0.28488372093023256,0.6301775147928994,0
qmsum,ours,baseline_nosink,15,16.0,0.046242774566473986,0.3913840513290559,0
qmsum,ours,baseline_nosink,16,12.598425196850393,0.041237113402061855,0.36688311688311687,0
qmsum,ours,baseline_nosink,17,17.11229946524064,0.023255813953488372,0.591321897073663,0
qmsum,ours,baseline_nosink,18,4.901960784313726,0.19653179190751446,0.7070610687022901,1
qmsum,ours,baseline_nosink,19,8.91089108910891,0.0875,0.5124875124875125,0
qmsum,ours,baseline_nosink,20,13.333333333333334,0.0,0.23091603053435114,0
qmsum,ours,baseline_nosink,21,9.852216748768473,0.6568047337278107,0.9183864915572233,1
qmsum,ours,baseline_nosink,22,2.45398773006135,0.007246376811594203,0.32222222222222224,0
qmsum,ours,baseline_nosink,23,9.523809523809526,0.024096385542168676,0.43315508021390375,0
qmsum,ours,baseline_nosink,24,16.75392670157068,0.034482758620689655,0.4107946026986507,0
qmsum,ours,baseline_nosink,25,3.592814371257485,0.3236994219653179,0.7240704500978473,1
qmsum,ours,baseline_nosink,26,16.766467065868266,0.0,0.23091603053435114,0
qmsum,ours,baseline_nosink,27,9.70873786407767,0.5084745762711864,0.7255460588793922,1
qmsum,ours,baseline_nosink,28,4.8543689320388355,0.06470588235294118,0.5380859375,0
qmsum,ours,baseline_nosink,29,23.463687150837988,0.041237113402061855,0.36688311688311687,0
qmsum,ours,plus_sink4,0,11.688311688311687,0.01935483870967742,0.37921077959576516,0
qmsum,ours,plus_sink4,1,11.578947368421053,0.02564102564102564,0.3560311284046693,0
qmsum,ours,plus_sink4,2,12.359550561797752,0.012345679012345678,0.28844404003639673,0
qmsum,ours,plus_sink4,3,11.299435028248588,0.01652892561983471,0.30317273795534666,0
qmsum,ours,plus_sink4,4,7.246376811594203,0.0,0.14637305699481865,0
qmsum,ours,plus_sink4,5,4.210526315789474,0.0,0.3345724907063197,0
qmsum,ours,plus_sink4,6,8.78048780487805,0.017857142857142856,0.29122468659594986,0
qmsum,ours,plus_sink4,7,3.9215686274509802,0.006802721088435374,0.2928786359077232,0
qmsum,ours,plus_sink4,8,6.1349693251533735,0.0,0.28688524590163933,0
qmsum,ours,plus_sink4,9,10.191082802547772,0.0,0.24426605504587157,0
qmsum,ours,plus_sink4,10,10.050251256281408,0.023529411764705882,0.3377609108159393,0
qmsum,ours,plus_sink4,11,6.329113924050632,0.006802721088435374,0.2928786359077232,0
qmsum,ours,plus_sink4,12,13.16872427983539,0.023809523809523808,0.3857740585774059,0
qmsum,ours,plus_sink4,13,8.333333333333332,0.010638297872340425,0.1458966565349544,0
qmsum,ours,plus_sink4,14,11.707317073170733,0.025,0.3150406504065041,0
qmsum,ours,plus_sink4,15,15.929203539823009,0.08426966292134831,0.4496466431095406,0
qmsum,ours,plus_sink4,16,12.19512195121951,0.0,0.24426605504587157,0
qmsum,ours,plus_sink4,17,12.093023255813952,0.023529411764705882,0.3377609108159393,0
qmsum,ours,plus_sink4,18,5.517241379310345,0.009708737864077669,0.33238636363636365,0
qmsum,ours,plus_sink4,19,9.375000000000002,0.006802721088435374,0.2928786359077232,0
qmsum,ours,plus_sink4,20,11.1731843575419,0.013513513513513514,0.30546955624355004,0
qmsum,ours,plus_sink4,21,10.738255033557047,0.06140350877192982,0.4900398406374502,0
qmsum,ours,plus_sink4,22,5.952380952380952,0.0,0.3345724907063197,0
qmsum,ours,plus_sink4,23,7.407407407407408,0.01652892561983471,0.30317273795534666,0
qmsum,ours,plus_sink4,24,15.584415584415586,0.0,0.270873786407767,0
qmsum,ours,plus_sink4,25,6.535947712418301,0.053691275167785234,0.4065573770491803,0
qmsum,ours,plus_sink4,26,15.04424778761062,0.013513513513513514,0.30546955624355004,0
qmsum,ours,plus_sink4,27,8.08080808080808,0.017857142857142856,0.29122468659594986,0
qmsum,ours,plus_sink4,28,7.5829383886255926,0.024691358024691357,0.3438077634011091,0
qmsum,ours,plus_sink4,29,13.88888888888889,0.0,0.24426605504587157,0
qmsum,adakv,baseline_nosink,0,6.329113924050632,0.702247191011236,0.9301270417422868,1
qmsum,adakv,baseline_nosink,1,0.0,0.9192546583850931,1.0,1
qmsum,adakv,baseline_nosink,2,4.137931034482759,0.9119496855345912,0.9883474576271186,1
qmsum,adakv,baseline_nosink,3,1.9704433497536946,0.8975903614457831,1.0,1
qmsum,adakv,baseline_nosink,4,3.3707865168539324,0.7471910112359551,0.9242579324462641,1
qmsum,adakv,baseline_nosink,5,1.0582010582010581,0.7440476190476191,0.8664085188770572,1
qmsum,adakv,baseline_nosink,6,1.1976047904191618,0.9431818181818182,0.9887218045112782,1
qmsum,adakv,baseline_nosink,7,2.4844720496894412,0.875,0.9655172413793104,1
qmsum,adakv,baseline_nosink,8,3.703703703703704,0.8448275862068966,0.9457221711131555,1
qmsum,adakv,baseline_nosink,9,6.024096385542169,0.27741935483870966,0.7033985581874357,1
qmsum,adakv,baseline_nosink,10,1.01010101010101,0.8611111111111112,0.9250814332247557,1
qmsum,adakv,baseline_nosink,11,1.2048192771084338,0.875,0.9655172413793104,1
qmsum,adakv,baseline_nosink,12,5.2631578947368425,0.9389312977099237,0.9655688622754491,1
qmsum,adakv,baseline_nosink,13,7.291666666666667,0.7530864197530864,1.0,1
