task,budget,method,sample_idx,score,rep_ratio,collapsed,onset_word_idx,dispersion_cv
gov_report,0.8,fullkv,0,17.92890262751159,0.012422360248447204,0,126,
gov_report,0.8,fullkv,1,13.670886075949367,0.006993006993006993,0,53,
gov_report,0.8,fullkv,2,13.392857142857142,0.006666666666666667,0,92,
gov_report,0.8,fullkv,3,12.389380530973451,0.0,0,,
gov_report,0.8,fullkv,4,13.081761006289309,0.0,0,,
gov_report,0.8,fullkv,5,10.133843212237094,0.0,0,,
gov_report,0.8,fullkv,6,11.940298507462687,0.006535947712418301,0,23,
gov_report,0.8,fullkv,7,12.31281198003328,0.0,0,,
gov_report,0.8,fullkv,8,12.378640776699028,0.0,0,,
gov_report,0.8,fullkv,9,10.015649452269171,0.0078125,0,14,
gov_report,0.8,fullkv,10,12.765957446808512,0.0,0,,
gov_report,0.8,fullkv,11,26.047904191616762,0.0,0,,
gov_report,0.8,fullkv,12,11.283497884344147,0.014925373134328358,0,74,
gov_report,0.8,fullkv,13,9.841269841269842,0.0072992700729927005,0,8,
gov_report,0.8,fullkv,14,15.495495495495499,0.007692307692307693,0,78,
gov_report,0.8,fullkv,15,22.699386503067483,0.022058823529411766,0,17,
gov_report,0.8,fullkv,16,8.731241473396999,0.0,0,,
gov_report,0.8,fullkv,17,17.670682730923694,0.006535947712418301,0,6,
gov_report,0.8,fullkv,18,17.870722433460074,0.05,0,7,
gov_report,0.8,fullkv,19,21.113243761996163,0.03773584905660377,0,32,
gov_report,0.8,fullkv,20,14.910858995137763,0.0,0,,
gov_report,0.8,fullkv,21,11.734028683181226,0.0,0,,
gov_report,0.8,fullkv,22,9.969788519637461,0.0,0,,
gov_report,0.8,fullkv,23,17.87878787878788,0.0,0,,
gov_report,0.8,fullkv,24,12.324929971988794,0.014814814814814815,0,47,
gov_report,0.8,fullkv,25,15.89648798521257,0.016129032258064516,0,15,
gov_report,0.8,fullkv,26,18.154311649016638,0.01282051282051282,0,34,
gov_report,0.8,fullkv,27,17.980636237897652,0.006944444444444444,0,82,
gov_report,0.8,fullkv,28,10.14686248331108,0.0,0,,
gov_report,0.8,fullkv,29,15.467625899280577,0.0,0,,
gov_report,0.8,fullkv,30,11.06719367588933,0.0,0,,
gov_report,0.8,fullkv,31,10.552763819095478,0.0,0,,
gov_report,0.8,fullkv,32,11.320754716981133,0.0,0,,
gov_report,0.8,fullkv,33,8.366013071895424,0.0,0,,
gov_report,0.8,fullkv,34,21.037037037037035,0.02857142857142857,0,3,
gov_report,0.8,fullkv,35,13.44,0.0,0,,
gov_report,0.8,fullkv,36,18.37837837837838,0.012269938650306749,0,11,
gov_report,0.8,fullkv,37,22.377622377622377,0.0,0,,
gov_report,0.8,fullkv,38,13.569321533923304,0.02631578947368421,0,0,
gov_report,0.8,fullkv,39,14.311926605504588,0.0,0,,
gov_report,0.8,fullkv,40,10.526315789473685,0.0,0,,
gov_report,0.8,fullkv,41,19.11111111111111,0.0,0,,
gov_report,0.8,fullkv,42,14.535666218034995,0.0064516129032258064,0,43,
gov_report,0.8,fullkv,43,21.660649819494584,0.0,0,,
gov_report,0.8,fullkv,44,14.853195164075995,0.02158273381294964,0,45,
gov_report,0.8,fullkv,45,13.293051359516618,0.01875,0,26,
gov_report,0.8,fullkv,46,11.412268188302427,0.0,0,,
gov_report,0.8,fullkv,47,23.303834808259584,0.015625,0,32,
gov_report,0.8,fullkv,48,14.436619718309856,0.0,0,,
gov_report,0.8,fullkv,49,14.211438474870016,0.014492753623188406,0,14,
gov_report,0.8,streaming,0,16.64050235478807,0.0440251572327044,0,58,15.355527223146714
gov_report,0.8,streaming,1,13.20049813200498,0.018867924528301886,0,107,16.071097131895275
gov_report,0.8,streaming,2,11.161387631975867,0.014492753623188406,0,73,22.628302438707095
gov_report,0.8,streaming,3,13.518197573656845,0.052980132450331126,0,2,22.628302438707095
gov_report,0.8,streaming,4,12.436548223350254,0.0,0,,20.485510359008007
gov_report,0.8,streaming,5,13.753581661891118,0.0,0,,22.509912933878613
gov_report,0.8,streaming,6,14.826021180030255,0.007246376811594203,0,130,19.873200628331574
gov_report,0.8,streaming,7,12.627986348122866,0.028368794326241134,0,23,22.628302438707095
gov_report,0.8,streaming,8,12.106537530266344,0.00641025641025641,0,27,19.424729948015422
gov_report,0.8,streaming,9,14.678899082568805,0.03546099290780142,0,14,22.628302438707095
gov_report,0.8,streaming,10,12.765957446808512,0.0,0,,16.41170816310608
gov_report,0.8,streaming,11,18.740399385560675,0.014925373134328358,0,98,14.442722548642317
gov_report,0.8,streaming,12,12.429378531073446,0.007575757575757576,0,44,15.654782440755072
gov_report,0.8,streaming,13,11.653543307086613,0.014084507042253521,0,7,20.575133693358545
gov_report,0.8,streaming,14,15.77981651376147,0.032,0,22,15.893149656727001
gov_report,0.8,streaming,15,24.316109422492403,0.0136986301369863,0,1,10.679723258594665
gov_report,0.8,streaming,16,14.393939393939393,0.006289308176100629,0,69,9.610432526979924
gov_report,0.8,streaming,17,13.279132791327914,0.013422818791946308,0,10,10.22704647671586
gov_report,0.8,streaming,18,13.503649635036496,0.024193548387096774,0,10,13.770991271275717
gov_report,0.8,streaming,19,14.23076923076923,0.0064516129032258064,0,67,17.239029585304433
gov_report,0.8,streaming,20,16.721311475409838,0.014925373134328358,0,6,21.45600380129461
gov_report,0.8,streaming,21,13.404825737265416,0.007352941176470588,0,36,19.93289119082427
gov_report,0.8,streaming,22,13.728549141965676,0.0,0,,19.876622483546974
gov_report,0.8,streaming,23,14.263565891472869,0.007142857142857143,0,34,12.377734088405736
gov_report,0.8,streaming,24,13.424657534246572,0.006578947368421052,0,29,14.54758455606012
gov_report,0.8,streaming,25,20.284697508896798,0.0,0,,18.22262793320088
gov_report,0.8,streaming,26,13.253012048192769,0.04938271604938271,0,53,20.83670094361756
gov_report,0.8,streaming,27,12.0617110799439,0.015037593984962405,0,67,19.79313421109178
gov_report,0.8,streaming,28,14.095744680851062,0.0,0,,17.562236199998168
gov_report,0.8,streaming,29,20.036429872495447,0.0,0,,14.171808503738003
gov_report,0.8,streaming,30,9.549071618037134,0.0,0,,22.495158042189598
gov_report,0.8,streaming,31,11.15335868187579,0.0,0,,14.42914454710602
gov_report,0.8,streaming,32,19.124797406807133,0.031496062992125984,0,2,16.33842557916193
gov_report,0.8,streaming,33,9.414758269720101,0.039735099337748346,0,1,16.115835101479423
gov_report,0.8,streaming,34,15.918958031837915,0.02531645569620253,0,11,22.1314270497851
gov_report,0.8,streaming,35,15.384615384615385,0.0,0,,21.125341970582234
gov_report,0.8,streaming,36,17.297297297297295,0.013157894736842105,0,26,13.660168844181225
gov_report,0.8,streaming,37,18.42105263157895,0.0547945205479452,0,2,18.04173212297619
gov_report,0.8,streaming,38,15.835777126099707,0.07051282051282051,0,32,22.628302438707095
