Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,14.3,29.7,45.3,26.4,16.0,15.7,8.5,22.3,0.0,1636.1,18.3
STREAMING,15.6,17.0,33.5,34.1,25.2,16.5,7.1,21.3,80.0,1527.1,14.2
H2O,13.0,21.0,25.6,23.2,19.3,16.0,6.8,17.8,80.0,1704.3,16.7
SNAPKV,14.8,13.9,29.4,22.4,18.9,15.9,6.7,17.4,80.0,1889.7,14.2
PYRAMIDKV,12.0,22.6,25.7,23.7,25.1,16.5,7.5,19.0,80.0,1703.3,16.5
ADAKV,12.0,21.9,25.7,23.7,18.4,16.5,7.4,17.9,80.0,1728.3,16.8
OURS,13.2,19.2,26.7,29.3,22.9,16.2,7.2,19.2,80.0,1786.4,16.4
