Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,15.9,15.1,60.0,2.5,11.1,16.4,9.8,18.7,0.0,3058.0,12.6
STREAMING,8.2,6.3,51.0,40.0,13.7,16.4,9.3,20.7,80.0,3039.0,13.0
H2O,6.0,7.8,29.3,40.0,23.6,15.8,5.5,18.3,80.0,3049.2,14.4
SNAPKV,5.2,12.4,35.4,60.0,0.4,0.7,0.8,16.4,80.0,2932.7,28.3
PYRAMIDKV,7.4,3.3,28.7,60.0,26.7,15.8,6.2,21.1,80.0,3067.9,15.3
ADAKV,7.4,3.3,28.7,60.0,25.9,15.8,6.2,21.0,80.0,3055.7,15.3
OURS,9.7,14.3,45.8,40.0,21.3,14.4,7.0,21.8,80.0,3151.6,13.1
