sample_idx,method,score,rep_ratio,collapsed,onset,input_length,dispersion_cv,max_gap,recent500_coverage,jaccard_vs_ours
0,fullkv,6.25,0.02962962962962963,0,33,5530,,,,
0,streaming,13.740458015267176,0.0078125,0,23,5530,13.304143793181405,1107.0,500,
0,h2o,6.329113924050632,0.702247191011236,1,7,5530,0.40744978485012956,5.0,401,
0,snapkv,2.8368794326241136,0.8647058823529412,1,6,5530,0.6905774754158721,13.0,408,
0,pyramidkv,6.329113924050632,0.702247191011236,1,7,5530,0.40744978485012956,5.0,404,
0,adakv,6.329113924050632,0.702247191011236,1,7,5530,0.40744978485012956,5.0,404,
0,JACCARD_adakv_ours,,,,,,,,,0.8243298969072165
151454,7.0,497,
1,fullkv,12.5,0.00625,0,34,8198,,,,
1,streaming,13.131313131313133,0.006097560975609756,0,29,8198,16.20148632291638,1641.0,500,
1,h2o,0.0,0.9192546583850931,1,0,8198,0.4113372776459944,6.0,405,
1,snapkv,8.64864864864865,0.574585635359116,1,13,8198,0.7323945871743298,14.0,412,
1,pyramidkv,0.0,0.9192546583850931,1,0,8198,0.4113372776459944,6.0,407,
1,adakv,0.0,0.9192546583850931,1,0,8198,0.4113372776459944,6.0,407,
1,JACCARD_adakv_ours,,,,,,,,,0.8315877670716381
5,8198,0.46376116246746124,7.0,499,
2,fullkv,11.235955056179774,0.024539877300613498,0,81,15552,,,,
2,streaming,8.938547486033519,0.03125,0,48,15552,22.313047742566038,3112.0,500,
2,h2o,4.137931034482759,0.9119496855345912,1,2,15552,0.38683000676272195,5.0,407,
2,snapkv,3.7974683544303804,0.75,1,0,15552,0.7552243242833407,15.0,437,
2,pyramidkv,4.137931034482759,0.9119496855345912,1,2,15552,0.38683000676272195,5.0,411,
2,adakv,4.137931034482759,0.9119496855345912,1,2,15552,0.38683000676272195,5.0,411,
2,JACCARD_adakv_ours,,,,,,,,,0.813953488372093
1,15552,0.4949934780885807,7.0,497,
3,fullkv,11.881188118811883,0.01935483870967742,0,23,12488,,,,
3,streaming,11.320754716981133,0.0,0,,12488,19.99420207474776,2499.0,500,
3,h2o,1.9704433497536946,0.8975903614457831,1,6,12488,0.4058626359425205,5.0,395,
3,snapkv,7.9207920792079225,0.0,0,,12488,0.6789641616269898,14.0,375,
3,pyramidkv,1.9704433497536946,0.8975903614457831,1,6,12488,0.4058626359425205,5.0,397,
3,adakv,1.9704433497536946,0.8975903614457831,1,6,12488,0.4058626359425205,5.0,397,
3,ours,11.347517730496454,0.024096385542168676,0,10,12488,0.4730736290346424,9.0,499,
4,fullkv,7.142857142857142,0.0,0,,10056,,,,
4,streaming,4.166666666666667,0.007936507936507936,0,62,10056,17.945923985115062,2013.0,500,
4,h2o,4.18848167539267,0.5819209039548022,1,8,10056,0.40566996382337167,6.0,391,
4,snapkv,0.0,0.9647058823529412,1,0,10056,0.7038501934910298,21.0,405,
4,pyramidkv,3.3707865168539324,0.7471910112359551,1,8,10056,0.4058660441434404,6.0,393,
4,adakv,3.3707865168539324,0.7471910112359551,1,8,10056,0.4058660441434404,6.0,393,
4,JACCARD_adakv_ours,,,,,,,,,0.8298453139217471
263374017777,7.0,499,
5,fullkv,6.31578947368421,0.006578947368421052,0,28,16000,,,,
5,streaming,5.3475935828877015,0.0,0,,16000,22.628302438707095,3201.0,500,
5,h2o,4.739336492890995,0.827027027027027,1,17,16000,0.3811834515807004,5.0,414,
5,snapkv,4.938271604938271,0.12598425196850394,0,25,16000,0.7346172000395615,13.0,431,
5,pyramidkv,1.0582010582010581,0.7440476190476191,1,29,16000,0.3810522157444663,5.0,417,
5,adakv,1.0582010582010581,0.7440476190476191,1,29,16000,0.3810522157444663,5.0,417,
5,JACCARD_adakv_ours,,,,,,,,,0.8061238888104981
100,16000,0.499616974477968,9.0,500,
6,fullkv,8.16326530612245,0.018633540372670808,0,28,16000,,,,
6,streaming,8.866995073891626,0.028901734104046242,0,6,16000,22.628302438707095,3201.0,500,
6,h2o,1.1976047904191618,0.9431818181818182,1,2,16000,0.4048502514224925,5.0,390,
6,snapkv,6.896551724137932,0.7142857142857143,1,12,16000,0.7705003776368412,15.0,401,
6,pyramidkv,1.1976047904191618,0.9431818181818182,1,2,16000,0.4048502514224925,5.0,395,
6,adakv,1.1976047904191618,0.9431818181818182,1,2,16000,0.4048502514224925,5.0,395,
6,JACCARD_adakv_ours,,,,,,,,,0.7943505992850635
6000,0.5140227303138855,9.0,498,
7,fullkv,5.031446540880504,0.0,0,,16000,,,,
7,streaming,3.75,0.01910828025477707,0,63,16000,22.628302438707095,3201.0,500,
7,h2o,2.4844720496894412,0.875,1,7,16000,0.436472079337404,5.0,418,
7,snapkv,3.6585365853658534,0.39204545454545453,1,19,16000,0.7853499127939776,15.0,426,
7,pyramidkv,2.4844720496894412,0.875,1,7,16000,0.43658662456946584,5.0,422,
7,adakv,2.4844720496894412,0.875,1,7,16000,0.43658662456946584,5.0,422,
7,JACCARD_adakv_ours,,,,,,,,,0.8184401193351328
158866702254,7.0,500,
8,fullkv,4.878048780487805,0.0,0,,16000,,,,
8,streaming,6.097560975609756,0.0,0,,16000,22.628302438707095,3201.0,500,
8,h2o,3.703703703703704,0.8448275862068966,1,12,16000,0.37080938271374153,4.0,399,
8,snapkv,1.282051282051282,0.8941176470588236,1,0,16000,0.7445567409487569,13.0,433,
8,pyramidkv,3.703703703703704,0.8448275862068966,1,12,16000,0.3712137483653938,4.0,405,
8,adakv,3.703703703703704,0.8448275862068966,1,12,16000,0.3712137483653938,4.0,405,
8,JACCARD_adakv_ours,,,,,,,,,0.7995220019682272
,16000,0.481678676112722,7.0,500,
9,fullkv,9.022556390977442,0.0,0,,5185,,,,
9,streaming,14.285714285714285,0.03333333333333333,0,39,5185,12.8825556009296,1038.0,500,
9,h2o,6.024096385542169,0.27741935483870966,0,15,5185,0.3966695674893423,5.0,406,
9,snapkv,2.5423728813559325,0.9595959595959596,1,6,5185,0.6280543893281777,8.0,403,
9,pyramidkv,6.024096385542169,0.27741935483870966,0,15,5185,0.3970585219273482,5.0,408,
9,adakv,6.024096385542169,0.27741935483870966,0,15,5185,0.3970585219273482,5.0,408,
9,JACCARD_adakv_ours,,,,,,,,,0.8301345687182881
612063377775,6.0,499,
