Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1293.5,14.6
STREAMING,61.5,61.5,80.0,669.2,20.3
H2O,0.8,0.8,80.0,715.6,26.7
SNAPKV,75.9,75.9,80.0,674.5,23.2
PYRAMIDKV,0.9,0.9,80.0,657.6,25.9
ADAKV,0.0,0.0,80.0,671.0,26.1
OURS,0.6,0.6,80.0,715.2,23.8
