Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,15.1,15.1,0.0,3492.4,10.3
STREAMING,6.3,6.3,80.0,1871.4,10.5
H2O,7.8,7.8,80.0,2320.2,14.7
SNAPKV,1.6,1.6,80.0,2745.6,12.8
PYRAMIDKV,3.3,3.3,80.0,2379.0,21.0
ADAKV,3.3,3.3,80.0,1718.0,19.4
OURS,14.3,14.3,80.0,2863.9,14.0
