Method,narrativeqa,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,0.0,0.0,0.0,3287.5,3.0
STREAMING,5.0,5.0,80.0,2643.6,8.2
H2O,0.0,0.0,80.0,2929.7,3.0
SNAPKV,0.0,0.0,80.0,2937.9,3.0
PYRAMIDKV,0.0,0.0,80.0,2884.7,3.0
ADAKV,0.0,0.0,80.0,2922.4,3.0
OURS,0.0,0.0,80.0,2979.8,3.0
