Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,0.0,19.3,80.0,0.0,0.0,19.9,6.2,17.9,0.0,2911.1,12.5
STREAMING,13.3,20.4,66.7,0.0,0.0,21.1,5.8,18.2,80.0,2731.8,13.8
H2O,0.0,8.2,15.6,100.0,0.0,25.0,3.5,21.8,80.0,2886.1,14.6
SNAPKV,0.0,0.0,69.0,100.0,0.0,0.0,0.0,24.1,80.0,3117.1,25.8
PYRAMIDKV,1.6,11.6,8.9,100.0,0.0,20.4,3.7,20.9,80.0,2813.9,18.2
ADAKV,1.6,11.6,8.9,100.0,0.0,20.4,3.7,20.9,80.0,2768.5,18.2
OURS,0.0,29.9,20.2,100.0,0.0,17.4,7.3,25.0,80.0,2925.6,14.9
