method,seq_length,prefill_ms,compress_ms,total_ms,mem_reduction_%
fullkv,1887,468.4,0.0,468.4,0.0
adakv,1887,272.9,262.0,534.9,80.0
ours,1887,271.3,273.6,545.0,80.0
fullkv,3732,739.1,0.0,739.1,0.0
adakv,3732,743.4,626.2,1369.7,80.0
ours,3732,743.5,654.5,1398.0,80.0
