variant,sample_idx,score,word_rep,char_rep,collapsed
none,0,2.2598870056497176,0.7513513513513513,0.9487179487179487,1
none,1,0.0,0.9310344827586207,0.976913730255164,1
none,2,10.945273631840797,0.7978723404255319,0.9624134520276953,1
none,3,11.872146118721458,0.7341040462427746,0.8904382470119522,1
none,4,1.0204081632653061,0.8957055214723927,0.9483695652173914,1
none,5,1.5873015873015872,0.7830188679245284,0.8734402852049911,1
none,6,3.1746031746031735,0.9343434343434344,0.963258785942492,1
none,7,4.371584699453552,0.08571428571428572,0.3841754051477598,0
none,8,5.88235294117647,0.0,0.708,1
none,9,2.2988505747126435,0.850828729281768,0.936,1
none,10,4.830917874396136,0.7692307692307693,0.861671469740634,1
none,11,4.25531914893617,0.08571428571428572,0.3841754051477598,0
none,12,11.363636363636363,0.7421052631578947,0.9054852320675105,1
none,13,10.714285714285715,0.19230769230769232,0.5757162346521146,0
none,14,16.74418604651163,0.5428571428571428,0.9073514602215509,1
none,15,11.023622047244094,0.1206896551724138,0.6260869565217392,0
none,16,3.314917127071823,0.850828729281768,0.936,1
none,17,7.174887892376682,0.7692307692307693,0.861671469740634,1
none,18,1.932367149758454,0.9080459770114943,0.9651741293532339,1
none,19,8.108108108108109,0.08571428571428572,0.3841754051477598,0
none,20,3.278688524590164,0.8765432098765432,0.951063829787234,1
none,21,2.666666666666667,0.14285714285714285,0.723404255319149,1
none,22,1.9230769230769231,0.7830188679245284,0.8734402852049911,1
none,23,10.784313725490197,0.7341040462427746,0.8904382470119522,1
none,24,3.65296803652968,0.8795180722891566,0.9832635983263598,1
none,25,4.444444444444445,0.9285714285714286,0.9919517102615694,1
none,26,4.3478260869565215,0.8765432098765432,0.951063829787234,1
none,27,2.1978021978021975,0.9343434343434344,0.963258785942492,1
none,28,2.8368794326241136,0.7956989247311828,0.8943661971830986,1
none,29,3.4334763948497855,0.850828729281768,0.936,1
front,0,4.0,0.0,0.1781045751633987,0
front,1,12.5,0.0,0.2045889101338432,0
front,2,7.446808510638298,0.012738853503184714,0.400679117147708,0
front,3,10.679611650485437,0.0,0.31675874769797424,0
front,4,5.952380952380952,0.0125,0.36,0
front,5,7.000000000000001,0.023952095808383235,0.44903339191564146,0
front,6,7.329842931937174,0.030864197530864196,0.3425925925925926,0
front,7,3.571428571428571,0.017142857142857144,0.4206418039895924,0
front,8,6.211180124223602,0.05194805194805195,0.4856081708449396,0
front,9,3.8461538461538463,0.05194805194805195,0.3276595744680851,0
front,10,8.64864864864865,0.013157894736842105,0.3306205493387589,0
front,11,6.936416184971099,0.017142857142857144,0.4206418039895924,0
front,12,10.612244897959183,0.022988505747126436,0.4178723404255319,0
front,13,9.395973154362416,0.0,0.3130311614730878,0
front,14,10.843373493975903,0.0,0.21536351165980797,0
front,15,14.150943396226415,0.0125,0.41539923954372626,0
front,16,10.81081081081081,0.05194805194805195,0.3276595744680851,0
front,17,7.960199004975125,0.013157894736842105,0.3306205493387589,0
front,18,7.575757575757576,0.011494252873563218,0.35144312393887944,0
front,19,6.76328502415459,0.017142857142857144,0.4206418039895924,0
front,20,10.975609756097562,0.0,0.39655172413793105,0
front,21,8.21917808219178,0.0,0.2720797720797721,0
front,22,4.49438202247191,0.023952095808383235,0.44903339191564146,0
front,23,8.37696335078534,0.0,0.31675874769797424,0
front,24,13.445378151260504,0.05952380952380952,0.44295900178253117,0
front,25,6.289308176100629,0.0,0.3285024154589372,0
front,26,7.582938388625592,0.0,0.39655172413793105,0
front,27,8.695652173913043,0.030864197530864196,0.3425925925925926,0
front,28,7.608695652173912,0.0,0.2478902953586498,0
front,29,13.496932515337424,0.05194805194805195,0.3276595744680851,0
middle,0,2.2598870056497176,0.7513513513513513,0.9487179487179487,1
middle,1,0.0,0.9310344827586207,0.976913730255164,1
middle,2,10.945273631840797,0.7978723404255319,0.9624134520276953,1
middle,3,11.872146118721458,0.7341040462427746,0.8904382470119522,1
middle,4,1.0204081632653061,0.8957055214723927,0.9483695652173914,1
middle,5,1.5873015873015872,0.7830188679245284,0.8734402852049911,1
middle,6,3.1746031746031735,0.9343434343434344,0.963258785942492,1
middle,7,4.371584699453552,0.08571428571428572,0.3841754051477598,0
middle,8,5.88235294117647,0.0,0.708,1
middle,9,2.2988505747126435,0.850828729281768,0.936,1
middle,10,4.784688995215311,0.7650273224043715,0.857707509881423,1
middle,11,4.25531914893617,0.08571428571428572,0.3841754051477598,0
middle,12,11.363636363636363,0.7421052631578947,0.9054852320675105,1
middle,13,10.714285714285715,0.19230769230769232,0.5757162346521146,0
middle,14,16.74418604651163,0.5428571428571428,0.9073514602215509,1
middle,15,11.023622047244094,0.1206896551724138,0.6260869565217392,0
middle,16,3.314917127071823,0.850828729281768,0.936,1
middle,17,7.111111111111111,0.7650273224043715,0.857707509881423,1
middle,18,0.966183574879227,0.9252873563218391,0.9764150943396226,1
middle,19,8.108108108108109,0.08571428571428572,0.3841754051477598,0
middle,20,6.06060606060606,0.7470588235294118,0.945273631840796,1
middle,21,2.666666666666667,0.14285714285714285,0.723404255319149,1
middle,22,1.9230769230769231,0.7830188679245284,0.8734402852049911,1
middle,23,10.784313725490197,0.7341040462427746,0.8904382470119522,1
middle,24,3.65296803652968,0.8795180722891566,0.9832635983263598,1
middle,25,2.2222222222222223,0.9137055837563451,0.9723991507430998,1
middle,26,8.979591836734693,0.7470588235294118,0.945273631840796,1
middle,27,2.1978021978021975,0.9343434343434344,0.963258785942492,1
middle,28,2.8368794326241136,0.7956989247311828,0.8943661971830986,1
middle,29,3.4334763948497855,0.850828729281768,0.936,1
