Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,19.3,19.3,0.0,1552.6,20.9
STREAMING,20.4,20.4,80.0,1168.5,19.8
H2O,8.2,8.2,80.0,1208.7,24.5
SNAPKV,4.9,4.9,80.0,1167.1,26.0
PYRAMIDKV,11.6,11.6,80.0,1167.0,25.5
ADAKV,11.6,11.6,80.0,1179.7,25.7
OURS,29.9,29.9,80.0,1223.9,22.4
