Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,19.3,19.3,0.0,1672.9,20.3
STREAMING,0.0,0.0,80.0,1159.7,27.6
H2O,1.1,1.1,80.0,1214.9,27.4
SNAPKV,0.0,0.0,80.0,1216.0,27.4
PYRAMIDKV,0.7,0.7,80.0,1168.8,27.7
ADAKV,0.0,0.0,92.0,1188.5,27.1
OURS,0.6,0.6,92.0,1231.4,27.2
