Method,narrativeqa,qasper,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,14.8,24.7,46.0,28.5,0.0,3536.5,9.3
STREAMING,12.9,15.9,31.5,20.1,80.0,3652.3,9.6
H2O,13.6,18.7,24.1,18.8,80.0,2983.6,11.1
SNAPKV,9.4,11.2,19.0,13.2,80.0,3215.0,9.9
PYRAMIDKV,12.2,20.3,26.4,19.6,80.0,2971.3,11.0
ADAKV,12.1,20.1,26.7,19.6,80.0,2986.9,11.8
OURS,13.4,13.9,27.2,18.2,80.0,2934.1,13.4
