Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,19.3,19.3,0.0,2480.4,17.0
STREAMING,20.4,20.4,80.0,1195.7,16.0
H2O,8.2,8.2,80.0,2578.0,19.3
SNAPKV,4.9,4.9,80.0,1326.3,25.0
PYRAMIDKV,11.6,11.6,80.0,1206.5,25.2
ADAKV,11.6,11.6,80.0,1449.6,24.9
OURS,29.9,29.9,80.0,1309.5,22.4
