variant,sample_idx,score,word_rep,char_rep,collapsed,recent500_coverage
baseline_d020,0,2.2598870056497176,0.7513513513513513,0.9487179487179487,1,230
baseline_d020,1,0.0,0.9310344827586207,0.976913730255164,1,215
baseline_d020,2,10.945273631840797,0.7978723404255319,0.9624134520276953,1,229
baseline_d020,3,11.872146118721458,0.7341040462427746,0.8904382470119522,1,212
baseline_d020,4,1.0204081632653061,0.8957055214723927,0.9483695652173914,1,231
baseline_d020,5,1.5873015873015872,0.7830188679245284,0.8734402852049911,1,221
baseline_d020,6,3.1746031746031735,0.9343434343434344,0.963258785942492,1,198
baseline_d020,7,4.371584699453552,0.08571428571428572,0.3841754051477598,0,208
baseline_d020,8,5.88235294117647,0.0,0.708,1,233
baseline_d020,9,2.2988505747126435,0.850828729281768,0.936,1,207
baseline_d020,10,4.830917874396136,0.7692307692307693,0.861671469740634,1,229
baseline_d020,11,4.25531914893617,0.08571428571428572,0.3841754051477598,0,208
baseline_d020,12,11.363636363636363,0.7421052631578947,0.9054852320675105,1,216
baseline_d020,13,10.714285714285715,0.19230769230769232,0.5757162346521146,0,216
baseline_d020,14,16.74418604651163,0.5428571428571428,0.9073514602215509,1,234
baseline_d020,15,11.023622047244094,0.1206896551724138,0.6260869565217392,0,233
baseline_d020,16,3.314917127071823,0.850828729281768,0.936,1,207
baseline_d020,17,7.174887892376682,0.7692307692307693,0.861671469740634,1,229
baseline_d020,18,1.932367149758454,0.9080459770114943,0.9651741293532339,1,205
baseline_d020,19,8.108108108108109,0.08571428571428572,0.3841754051477598,0,208
baseline_d020,20,3.278688524590164,0.8765432098765432,0.951063829787234,1,229
baseline_d020,21,2.666666666666667,0.14285714285714285,0.723404255319149,1,231
baseline_d020,22,1.9230769230769231,0.7830188679245284,0.8734402852049911,1,221
baseline_d020,23,10.784313725490197,0.7341040462427746,0.8904382470119522,1,212
baseline_d020,24,3.65296803652968,0.8795180722891566,0.9832635983263598,1,229
baseline_d020,25,4.444444444444445,0.9285714285714286,0.9919517102615694,1,221
baseline_d020,26,4.3478260869565215,0.8765432098765432,0.951063829787234,1,229
baseline_d020,27,2.1978021978021975,0.9343434343434344,0.963258785942492,1,198
baseline_d020,28,2.8368794326241136,0.7956989247311828,0.8943661971830986,1,235
baseline_d020,29,3.4334763948497855,0.850828729281768,0.936,1,207
delta_strong_d050,0,2.7586206896551726,0.7577639751552795,0.7924944812362031,1,384
delta_strong_d050,1,0.0,0.9117647058823529,0.9593967517401392,1,428
delta_strong_d050,2,6.25,0.2054794520547945,0.6058091286307054,0,479
delta_strong_d050,3,4.0,0.7738095238095238,0.883495145631068,1,434
delta_strong_d050,4,6.153846153846154,0.475,0.9736842105263158,1,421
delta_strong_d050,5,7.894736842105263,0.42857142857142855,0.875968992248062,1,483
delta_strong_d050,6,8.108108108108107,0.2608695652173913,0.6333333333333333,0,494
delta_strong_d050,7,0.0,0.8853503184713376,1.0,1,475
delta_strong_d050,8,4.878048780487805,0.8636363636363636,0.9989816700610998,1,483
delta_strong_d050,9,1.694915254237288,0.9745762711864406,1.0,1,372
delta_strong_d050,10,0.0,0.0,0.18181818181818182,0,474
delta_strong_d050,11,1.4492753623188408,0.8853503184713376,1.0,1,475
delta_strong_d050,12,10.894941634241244,0.8839779005524862,1.0,1,454
delta_strong_d050,13,0.7633587786259542,0.9595959595959596,0.9691535150645624,1,426
delta_strong_d050,14,13.173652694610777,0.008620689655172414,0.2697095435684647,0,453
delta_strong_d050,15,9.433962264150942,0.0,0.21304347826086956,0,418
delta_strong_d050,16,1.6,0.9745762711864406,1.0,1,372
delta_strong_d050,17,2.531645569620253,0.0,0.18181818181818182,0,474
delta_strong_d050,18,7.476635514018691,0.04838709677419355,0.3048128342245989,0,442
delta_strong_d050,19,3.488372093023255,0.8853503184713376,1.0,1,475
delta_strong_d050,20,4.597701149425287,0.8901098901098901,0.967280163599182,1,448
delta_strong_d050,21,6.217616580310881,0.8379888268156425,1.0,1,455
delta_strong_d050,22,7.6923076923076925,0.42857142857142855,0.875968992248062,1,483
delta_strong_d050,23,7.567567567567568,0.7738095238095238,0.883495145631068,1,434
delta_strong_d050,24,6.392694063926941,0.8735632183908046,0.9406565656565656,1,421
delta_strong_d050,25,11.111111111111112,0.0,0.3202247191011236,0,392
delta_strong_d050,26,5.429864253393666,0.8901098901098901,0.967280163599182,1,448
delta_strong_d050,27,2.9850746268656714,0.2608695652173913,0.6333333333333333,0,494
delta_strong_d050,28,1.183431952662722,0.7697368421052632,0.8731417244796829,1,433
delta_strong_d050,29,0.0,0.9745762711864406,1.0,1,372
delta_dominant_d070,0,0.0,0.949685534591195,0.9868819374369324,1,499
delta_dominant_d070,1,0.0,0.8493975903614458,1.0,1,500
delta_dominant_d070,2,5.0,0.7151515151515152,0.9199623352165726,1,500
delta_dominant_d070,3,9.900990099009901,0.0,0.3876651982378855,0,500
delta_dominant_d070,4,0.0,0.0,0.0,0,500
delta_dominant_d070,5,9.090909090909092,0.05555555555555555,0.3560606060606061,0,500
delta_dominant_d070,6,4.733727810650888,0.696551724137931,0.8971238938053098,1,500
delta_dominant_d070,7,0.0,0.8793103448275862,1.0,1,500
delta_dominant_d070,8,7.692307692307692,0.0,0.0,0,500
delta_dominant_d070,9,1.694915254237288,0.9745762711864406,1.0,1,499
delta_dominant_d070,10,0.0,0.9576271186440678,0.9815436241610739,1,500
delta_dominant_d070,11,2.6845637583892614,0.8793103448275862,1.0,1,500
delta_dominant_d070,12,3.9603960396039612,0.4,0.9166666666666666,1,500
delta_dominant_d070,13,12.213740458015266,0.0963855421686747,0.36311787072243346,0,500
delta_dominant_d070,14,16.216216216216218,0.45977011494252873,0.8670576735092864,1,500
delta_dominant_d070,15,15.30054644808743,0.4726027397260274,0.814968814968815,1,500
delta_dominant_d070,16,1.6,0.9745762711864406,1.0,1,499
delta_dominant_d070,17,0.0,0.9576271186440678,0.9815436241610739,1,500
delta_dominant_d070,18,6.896551724137931,0.4155844155844156,0.7695560253699789,1,500
delta_dominant_d070,19,3.278688524590164,0.8793103448275862,1.0,1,500
delta_dominant_d070,20,12.213740458015266,0.30927835051546393,0.7517985611510791,1,500
delta_dominant_d070,21,6.493506493506493,0.2631578947368421,0.6992805755395683,0,500
delta_dominant_d070,22,7.954545454545454,0.05555555555555555,0.3560606060606061,0,500
delta_dominant_d070,23,4.651162790697675,0.0,0.3876651982378855,0,500
delta_dominant_d070,24,1.8779342723004693,0.9371069182389937,0.9833178869323448,1,500
delta_dominant_d070,25,4.9079754601226995,0.9545454545454546,1.0,1,500
delta_dominant_d070,26,13.483146067415733,0.30927835051546393,0.7517985611510791,1,500
delta_dominant_d070,27,8.641975308641976,0.696551724137931,0.8971238938053098,1,500
delta_dominant_d070,28,0.9803921568627451,0.8595505617977528,0.9089848308051341,1,500
delta_dominant_d070,29,0.0,0.9745762711864406,1.0,1,499
