Method,qmsum,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,gov_report_collapse_%,gov_report_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,9.1,13.2,11.2,80.0,1227.3,31.0,0.0,0/2,0.0,0/2,0.0,0/4
4signal_NVPS,8.7,14.9,11.8,80.0,1120.3,28.2,0.0,0/2,0.0,0/2,0.0,0/4
wo_N,10.4,16.9,13.6,80.0,1154.5,25.6,0.0,0/2,0.0,0/2,0.0,0/4
wo_V,9.4,12.7,11.0,80.0,1169.4,26.0,0.0,0/2,0.0,0/2,0.0,0/4
wo_P,8.8,12.7,10.7,80.0,1088.6,29.3,0.0,0/2,0.0,0/2,0.0,0/4
N_only,8.5,15.0,11.7,80.0,1221.7,27.0,0.0,0/2,0.0,0/2,0.0,0/4
