Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,narrativeqa_collapse_%,narrativeqa_collapse_n,qasper_collapse_%,qasper_collapse_n,multifieldqa_en_collapse_%,multifieldqa_en_collapse_n,hotpotqa_collapse_%,hotpotqa_collapse_n,2wikimqa_collapse_%,2wikimqa_collapse_n,gov_report_collapse_%,gov_report_collapse_n,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,11.4,15.4,31.8,17.4,12.7,14.8,8.6,16.0,80.0,1778.9,29.2,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/210
4signal_NVPS,11.6,16.6,33.0,19.3,13.1,15.2,8.5,16.8,80.0,2007.6,25.0,0.0,0/30,0.0,0/30,0.0,0/30,3.3,1/30,0.0,0/30,0.0,0/30,0.0,0/30,0.5,1/210
wo_N,12.8,16.4,35.6,20.6,12.2,15.5,8.3,17.3,80.0,1597.8,30.2,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/210
wo_V,11.6,15.1,30.8,17.4,12.4,14.3,9.0,15.8,80.0,1572.6,28.3,0.0,0/30,0.0,0/30,3.3,1/30,0.0,0/30,0.0,0/30,6.7,2/30,0.0,0/30,1.4,3/210
wo_P,11.8,15.8,35.0,19.0,10.8,13.9,9.0,16.5,80.0,1600.6,28.9,0.0,0/30,3.3,1/30,0.0,0/30,6.7,2/30,0.0,0/30,0.0,0/30,0.0,0/30,1.4,3/210
N_only,12.0,15.7,32.9,14.9,11.6,14.4,9.1,15.8,80.0,1746.9,27.5,0.0,0/30,0.0,0/30,0.0,0/30,6.7,2/30,6.7,2/30,3.3,1/30,0.0,0/30,2.4,5/210
