Method,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,13.6,13.6,80.0,3982.4,20.7,0.0,0/30,0.0,0/30
4signal_NVPS,14.0,14.0,80.0,3826.5,22.3,0.0,0/30,0.0,0/30
wo_N,14.0,14.0,80.0,3844.6,23.0,0.0,0/30,0.0,0/30
wo_V,13.2,13.2,80.0,3613.3,22.5,0.0,0/30,0.0,0/30
wo_P,14.5,14.5,80.0,3506.3,20.4,0.0,0/30,0.0,0/30
N_only,14.6,14.6,80.0,3686.1,22.3,0.0,0/30,0.0,0/30
