Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,narrativeqa_collapse_%,narrativeqa_collapse_n,qasper_collapse_%,qasper_collapse_n,multifieldqa_en_collapse_%,multifieldqa_en_collapse_n,hotpotqa_collapse_%,hotpotqa_collapse_n,2wikimqa_collapse_%,2wikimqa_collapse_n,gov_report_collapse_%,gov_report_collapse_n,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,11.0,15.6,29.0,16.5,13.3,14.9,9.1,15.6,80.0,1563.6,32.0,3.3,1/30,13.3,4/30,6.7,2/30,3.3,1/30,0.0,0/30,10.0,3/30,0.0,0/30,5.2,11/210
4signal_NVPS,11.1,14.8,30.1,13.0,11.4,14.4,7.0,14.5,80.0,1592.8,32.6,6.7,2/30,16.7,5/30,6.7,2/30,6.7,2/30,20.0,6/30,40.0,12/30,43.3,13/30,20.0,42/210
wo_N,13.0,12.9,35.3,15.4,13.3,17.2,8.6,16.5,80.0,1553.2,32.9,3.3,1/30,10.0,3/30,3.3,1/30,0.0,0/30,0.0,0/30,10.0,3/30,23.3,7/30,7.1,15/210
wo_V,11.5,14.5,25.6,16.4,10.7,14.6,7.2,14.3,80.0,1555.7,32.9,6.7,2/30,10.0,3/30,10.0,3/30,6.7,2/30,6.7,2/30,46.7,14/30,30.0,9/30,16.7,35/210
wo_P,11.9,12.1,30.7,19.0,11.6,13.8,9.0,15.4,80.0,1557.5,32.5,0.0,0/30,10.0,3/30,10.0,3/30,3.3,1/30,0.0,0/30,0.0,0/30,0.0,0/30,3.3,7/210
N_only,12.5,14.6,35.4,16.6,10.8,13.9,9.5,16.2,80.0,1552.9,31.6,0.0,0/30,16.7,5/30,0.0,0/30,16.7,5/30,6.7,2/30,50.0,15/30,33.3,10/30,17.6,37/210
