Method,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,14.0,14.0,80.0,3675.3,21.1,3.3,1/30,3.3,1/30
4signal_NVPS,11.7,11.7,80.0,3544.2,20.5,26.7,8/30,26.7,8/30
wo_N,14.5,14.5,80.0,3818.2,20.9,6.7,2/30,6.7,2/30
wo_V,13.8,13.8,80.0,3461.9,21.4,13.3,4/30,13.3,4/30
wo_P,13.8,13.8,80.0,3678.7,20.2,0.0,0/30,0.0,0/30
N_only,14.7,14.7,80.0,3697.1,20.3,3.3,1/30,3.3,1/30
