Method,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,9.3,9.3,80.0,1175.7,30.0,0.0,0/2,0.0,0/2
4signal_NVPS,5.6,5.6,80.0,1012.8,31.0,50.0,1/2,50.0,1/2
wo_N,8.6,8.6,80.0,975.0,29.9,0.0,0/2,0.0,0/2
wo_V,7.5,7.5,80.0,1004.3,28.8,0.0,0/2,0.0,0/2
wo_P,7.7,7.7,80.0,1003.4,30.2,0.0,0/2,0.0,0/2
N_only,9.8,9.8,80.0,969.4,30.2,0.0,0/2,0.0,0/2
