Method,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
SalienceKV_m0,16.2,16.2,20.0,3401.5,23.4,0.0,0/30,0.0,0/30
SalienceKV_m1,15.5,15.5,20.0,3062.1,23.0,0.0,0/30,0.0,0/30
SalienceKV_m2,15.4,15.4,20.0,3577.8,21.4,0.0,0/30,0.0,0/30
SalienceKV_m4,15.4,15.4,20.0,3203.4,21.1,0.0,0/30,0.0,0/30
SalienceKV_m8,15.5,15.5,20.0,3364.5,21.5,0.0,0/30,0.0,0/30
SalienceKV_m16,15.2,15.2,20.0,3164.1,23.4,0.0,0/30,0.0,0/30
AdaKV-adapted_m0,15.6,15.6,20.0,3264.8,21.1,0.0,0/30,0.0,0/30
AdaKV-adapted_m1,16.5,16.5,20.0,2959.9,22.6,0.0,0/30,0.0,0/30
AdaKV-adapted_m2,16.7,16.7,20.0,2820.2,22.6,0.0,0/30,0.0,0/30
AdaKV-adapted_m4,16.7,16.7,20.0,3233.5,21.6,0.0,0/30,0.0,0/30
AdaKV-adapted_m8,16.7,16.7,20.0,3456.7,20.7,0.0,0/30,0.0,0/30
AdaKV-adapted_m16,16.6,16.6,20.0,2858.8,21.7,0.0,0/30,0.0,0/30
PyramidKV-adapted_m0,15.6,15.6,20.0,3325.2,20.1,0.0,0/30,0.0,0/30
PyramidKV-adapted_m1,16.5,16.5,20.0,3407.8,21.7,0.0,0/30,0.0,0/30
PyramidKV-adapted_m2,16.7,16.7,20.0,2846.2,22.2,0.0,0/30,0.0,0/30
PyramidKV-adapted_m4,16.7,16.7,20.0,3040.2,22.3,0.0,0/30,0.0,0/30
PyramidKV-adapted_m8,16.7,16.7,20.0,3310.5,21.9,0.0,0/30,0.0,0/30
PyramidKV-adapted_m16,16.6,16.6,20.0,3022.6,22.8,0.0,0/30,0.0,0/30
H2O_m0,15.7,15.7,20.0,2869.5,21.7,0.0,0/30,0.0,0/30
H2O_m1,15.6,15.6,20.0,3365.7,22.4,0.0,0/30,0.0,0/30
H2O_m2,15.6,15.6,20.0,3030.7,22.4,0.0,0/30,0.0,0/30
H2O_m4,15.7,15.7,20.0,3367.0,22.1,0.0,0/30,0.0,0/30
H2O_m8,15.7,15.7,20.0,3591.9,22.1,0.0,0/30,0.0,0/30
H2O_m16,15.8,15.8,20.0,3215.9,22.5,0.0,0/30,0.0,0/30
SnapKV_m0,16.0,16.0,20.0,3483.8,22.5,0.0,0/30,0.0,0/30
SnapKV_m1,16.0,16.0,20.0,3241.7,22.9,0.0,0/30,0.0,0/30
SnapKV_m2,16.0,16.0,20.0,3007.8,23.4,0.0,0/30,0.0,0/30
SnapKV_m4,15.9,15.9,20.0,3050.2,20.6,0.0,0/30,0.0,0/30
SnapKV_m8,15.7,15.7,20.0,2435.4,20.2,0.0,0/30,0.0,0/30
SnapKV_m16,16.0,16.0,20.0,2851.1,21.7,0.0,0/30,0.0,0/30
