Method,narrativeqa,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,7.1,14.1,10.6,0.0,1499.1,19.0
STREAMING,11.7,6.3,9.0,80.0,1468.3,14.2
H2O,8.8,7.8,8.3,80.0,1532.9,17.1
SNAPKV,8.2,1.4,4.8,80.0,1526.9,16.4
PYRAMIDKV,6.5,5.8,6.2,80.0,1526.2,20.0
ADAKV,6.5,5.8,6.2,80.0,1535.0,20.3
OURS,8.7,10.7,9.7,80.0,1615.7,16.8
