Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,12.6,12.6,0.0,1881.6,23.7
STREAMING,30.0,30.0,80.0,1219.2,26.1
H2O,7.6,7.6,80.0,1218.6,24.8
SNAPKV,0.0,0.0,0.0,0.0,0.0
PYRAMIDKV,0.0,0.0,0.0,0.0,0.0
ADAKV,3.3,3.3,80.0,1236.2,23.9
OURS,0.0,0.0,80.0,1232.5,24.9
