variant,sample_idx,score,word_rep,char_rep,collapsed,cache_len
ours_baseline_nosink,0,2.2598870056497176,0.7513513513513513,0.9487179487179487,1,1106
ours_baseline_nosink,1,0.0,0.9310344827586207,0.976913730255164,1,1639
ours_baseline_nosink,2,10.945273631840797,0.7978723404255319,0.9624134520276953,1,3110
ours_baseline_nosink,3,11.872146118721458,0.7341040462427746,0.8904382470119522,1,2497
ours_baseline_nosink,4,1.0204081632653061,0.8957055214723927,0.9483695652173914,1,2011
ours_baseline_nosink,5,1.5873015873015872,0.7830188679245284,0.8734402852049911,1,3200
ours_baseline_nosink,6,3.1746031746031735,0.9343434343434344,0.963258785942492,1,3200
ours_baseline_nosink,7,4.371584699453552,0.08571428571428572,0.3841754051477598,0,3200
ours_baseline_nosink,8,5.88235294117647,0.0,0.708,1,3200
ours_baseline_nosink,9,2.2988505747126435,0.850828729281768,0.936,1,1037
ours_baseline_nosink,10,4.830917874396136,0.7692307692307693,0.861671469740634,1,3200
ours_baseline_nosink,11,4.25531914893617,0.08571428571428572,0.3841754051477598,0,3200
ours_baseline_nosink,12,11.363636363636363,0.7421052631578947,0.9054852320675105,1,2599
ours_baseline_nosink,13,10.714285714285715,0.19230769230769232,0.5757162346521146,0,2591
ours_baseline_nosink,14,16.74418604651163,0.5428571428571428,0.9073514602215509,1,2415
ours_baseline_nosink,15,11.023622047244094,0.1206896551724138,0.6260869565217392,0,1852
ours_baseline_nosink,16,3.314917127071823,0.850828729281768,0.936,1,1037
ours_baseline_nosink,17,7.174887892376682,0.7692307692307693,0.861671469740634,1,3200
ours_baseline_nosink,18,1.932367149758454,0.9080459770114943,0.9651741293532339,1,3050
ours_baseline_nosink,19,8.108108108108109,0.08571428571428572,0.3841754051477598,0,3200
ours_baseline_nosink,20,3.278688524590164,0.8765432098765432,0.951063829787234,1,2663
ours_baseline_nosink,21,2.666666666666667,0.14285714285714285,0.723404255319149,1,3200
ours_baseline_nosink,22,1.9230769230769231,0.7830188679245284,0.8734402852049911,1,3200
ours_baseline_nosink,23,10.784313725490197,0.7341040462427746,0.8904382470119522,1,2497
ours_baseline_nosink,24,3.65296803652968,0.8795180722891566,0.9832635983263598,1,1317
ours_baseline_nosink,25,4.444444444444445,0.9285714285714286,0.9919517102615694,1,1337
ours_baseline_nosink,26,4.3478260869565215,0.8765432098765432,0.951063829787234,1,2663
ours_baseline_nosink,27,2.1978021978021975,0.9343434343434344,0.963258785942492,1,3200
ours_baseline_nosink,28,2.8368794326241136,0.7956989247311828,0.8943661971830986,1,2172
ours_baseline_nosink,29,3.4334763948497855,0.850828729281768,0.936,1,1037
ours_plus_sink4,0,4.0,0.0,0.1781045751633987,0,1106
ours_plus_sink4,1,12.5,0.0,0.2045889101338432,0,1639
ours_plus_sink4,2,7.446808510638298,0.012738853503184714,0.400679117147708,0,3110
ours_plus_sink4,3,10.679611650485437,0.0,0.31675874769797424,0,2497
ours_plus_sink4,4,5.952380952380952,0.0125,0.36,0,2011
ours_plus_sink4,5,7.000000000000001,0.023952095808383235,0.44903339191564146,0,3200
ours_plus_sink4,6,7.329842931937174,0.030864197530864196,0.3425925925925926,0,3200
ours_plus_sink4,7,3.571428571428571,0.017142857142857144,0.4206418039895924,0,3200
ours_plus_sink4,8,6.211180124223602,0.05194805194805195,0.4856081708449396,0,3200
ours_plus_sink4,9,3.8461538461538463,0.05194805194805195,0.3276595744680851,0,1037
ours_plus_sink4,10,8.64864864864865,0.013157894736842105,0.3306205493387589,0,3200
ours_plus_sink4,11,6.936416184971099,0.017142857142857144,0.4206418039895924,0,3200
ours_plus_sink4,12,10.612244897959183,0.022988505747126436,0.4178723404255319,0,2599
ours_plus_sink4,13,9.395973154362416,0.0,0.3130311614730878,0,2591
ours_plus_sink4,14,10.843373493975903,0.0,0.21536351165980797,0,2415
ours_plus_sink4,15,14.150943396226415,0.0125,0.41539923954372626,0,1852
ours_plus_sink4,16,10.81081081081081,0.05194805194805195,0.3276595744680851,0,1037
ours_plus_sink4,17,7.960199004975125,0.013157894736842105,0.3306205493387589,0,3200
ours_plus_sink4,18,7.575757575757576,0.011494252873563218,0.35144312393887944,0,3050
ours_plus_sink4,19,6.76328502415459,0.017142857142857144,0.4206418039895924,0,3200
ours_plus_sink4,20,10.975609756097562,0.0,0.39655172413793105,0,2663
ours_plus_sink4,21,8.21917808219178,0.0,0.2720797720797721,0,3200
ours_plus_sink4,22,4.49438202247191,0.023952095808383235,0.44903339191564146,0,3200
ours_plus_sink4,23,8.37696335078534,0.0,0.31675874769797424,0,2497
ours_plus_sink4,24,13.445378151260504,0.05952380952380952,0.44295900178253117,0,1317
ours_plus_sink4,25,6.289308176100629,0.0,0.3285024154589372,0,1337
ours_plus_sink4,26,7.582938388625592,0.0,0.39655172413793105,0,2663
ours_plus_sink4,27,8.695652173913043,0.030864197530864196,0.3425925925925926,0,3200
ours_plus_sink4,28,7.608695652173912,0.0,0.2478902953586498,0,2172
ours_plus_sink4,29,13.496932515337424,0.05194805194805195,0.3276595744680851,0,1037
