Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1197.7,16.2
STREAMING,66.7,66.7,80.0,796.5,18.6
H2O,15.6,15.6,80.0,664.2,25.9
SNAPKV,0.0,0.0,80.0,1056.3,2.2
PYRAMIDKV,8.9,8.9,80.0,638.0,27.4
ADAKV,8.9,8.9,80.0,653.0,27.4
OURS,20.2,20.2,80.0,682.7,26.2
