Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,19.3,19.3,0.0,1713.5,20.1
STREAMING,20.4,20.4,80.0,1177.4,18.3
H2O,8.2,8.2,80.0,1221.9,22.5
SNAPKV,4.9,4.9,80.0,1173.8,24.6
PYRAMIDKV,21.8,21.8,80.0,1193.0,19.5
ADAKV,12.2,12.2,80.0,1304.3,19.6
OURS,4.7,4.7,80.0,1239.9,24.5
