Method,narrativeqa,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,0.0,0.0,0.0,7627.9,16.5
ADAKV,0.0,0.0,68.2,7230.6,19.0
OURS,0.0,0.0,68.2,7634.9,18.3
