Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,7.3,19.3,33.2,9.8,15.8,10.3,9.4,15.0,0.0,2893.1,21.8
STREAMING,5.1,9.0,18.1,5.7,2.9,8.7,7.1,8.1,80.0,2879.8,22.3
H2O,5.0,10.6,22.4,8.9,3.6,11.0,8.5,10.0,80.0,2899.1,21.2
SNAPKV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYRAMIDKV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAKV,3.9,5.9,14.4,4.5,8.2,13.1,7.3,8.2,80.0,2906.4,19.9
OURS,6.3,10.2,19.3,7.4,8.1,10.6,8.0,10.0,80.0,2980.9,20.8
