Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,7.9,7.9,0.0,1106.1,16.5
STREAMING,0.0,0.0,80.0,882.6,18.3
H2O,0.0,0.0,80.0,885.6,18.5
SNAPKV,0.0,0.0,80.0,868.2,23.9
PYRAMIDKV,0.0,0.0,80.0,866.3,0.0
ADAKV,0.0,0.0,80.0,854.3,27.5
OURS,0.0,0.0,80.0,914.1,26.4
