Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FullKV,14.9,24.7,46.3,17.6,16.6,17.6,9.5,21.0,0.0,871.6,20.5
StreamingLLM,15.6,14.7,36.5,17.4,12.2,15.9,8.8,17.3,80.0,1358.9,26.2
H2O,1.8,9.5,15.4,7.1,4.4,8.3,1.4,6.9,80.0,1576.9,27.9
SnapKV,8.1,12.5,23.8,5.4,16.2,1.6,0.7,9.7,80.0,1588.0,27.0
PyramidKV-adapted,11.1,14.3,29.1,12.9,10.5,8.3,1.8,12.5,80.0,1580.8,26.6
AdaKV-adapted,11.1,14.3,29.1,12.9,10.5,8.4,1.7,12.5,80.0,1591.4,26.3
SalienceKV_wo_sink,9.2,16.4,29.2,13.4,14.6,10.7,3.1,13.8,80.0,1653.0,26.0
SalienceKV_Sink4,15.3,17.6,35.5,18.1,13.8,16.2,8.5,17.9,80.0,1663.6,26.5
