Method,qmsum,gov_report,2wikimqa,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,gov_report_collapse_%,gov_report_collapse_n,2wikimqa_collapse_%,2wikimqa_collapse_n,Avg_Collapse_%,Avg_Collapse_n
FullKV,9.5,17.6,16.6,14.6,0.0,819.8,22.4,0.0,0/50,0.0,0/50,2.0,1/50,0.7,1/150
StreamingLLM,8.8,15.9,12.2,12.3,80.0,1319.2,25.4,0.0,0/50,0.0,0/50,2.0,1/50,0.7,1/150
H2O,1.4,8.3,4.4,4.7,80.0,1573.4,26.6,92.0,46/50,98.0,49/50,62.0,31/50,84.0,126/150
SnapKV,0.7,1.6,16.2,6.2,80.0,1577.5,29.9,44.0,22/50,46.0,23/50,12.0,6/50,34.0,51/150
PyramidKV-adapted,1.8,8.3,10.5,6.8,80.0,1580.0,24.8,78.0,39/50,100.0,50/50,26.0,13/50,68.0,102/150
AdaKV-adapted,1.7,8.4,10.5,6.8,80.0,1592.4,25.3,80.0,40/50,100.0,50/50,26.0,13/50,68.7,103/150
SalienceKV_wo_sink,3.1,10.7,14.6,9.5,80.0,1658.9,24.0,86.0,43/50,70.0,35/50,16.0,8/50,57.3,86/150
SalienceKV_Sink4,8.5,16.2,13.8,12.8,80.0,1656.4,24.0,0.0,0/50,0.0,0/50,0.0,0/50,0.0,0/150
