Method,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,0.5,0.5,80.0,1260.3,32.5,100.0,2/2,100.0,2/2
4signal_NVPS,0.5,0.5,80.0,1065.8,33.1,100.0,2/2,100.0,2/2
wo_N,8.6,8.6,80.0,1069.1,33.7,0.0,0/2,0.0,0/2
wo_V,2.3,2.3,80.0,1025.8,34.8,50.0,1/2,50.0,1/2
wo_P,9.7,9.7,80.0,1033.6,32.1,0.0,0/2,0.0,0/2
N_only,0.9,0.9,80.0,1025.6,33.2,100.0,2/2,100.0,2/2
