Method,narrativeqa,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,0.0,0.0,0.0,8274.1,17.3
ADAKV,0.0,0.0,68.2,7169.3,17.7
OURS,0.0,0.0,68.2,7168.2,18.4
