Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1417.6,13.3
STREAMING,50.8,50.8,80.0,668.5,20.0
H2O,18.9,18.9,80.0,719.2,20.1
SNAPKV,0.0,0.0,80.0,1075.2,2.2
PYRAMIDKV,40.6,40.6,80.0,669.4,20.1
ADAKV,26.4,26.4,80.0,691.8,17.1
OURS,29.2,29.2,80.0,955.2,19.2
