Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,9.7,9.7,0.0,1077.6,22.9
STREAMING,7.1,7.1,80.0,858.6,25.5
H2O,7.1,7.1,80.0,859.4,26.0
SNAPKV,7.1,7.1,80.0,864.1,26.4
PYRAMIDKV,6.5,6.5,80.0,881.0,21.1
ADAKV,7.1,7.1,80.0,869.4,24.7
OURS,7.1,7.1,80.0,914.9,24.7
