Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,14.8,24.7,46.0,11.9,16.6,15.6,9.8,19.9,0.0,3070.1,12.5
STREAMING,12.9,15.9,31.5,21.7,21.3,13.8,9.7,18.1,80.0,3430.3,12.6
H2O,10.6,14.6,29.5,14.5,17.8,14.5,9.3,15.8,80.0,3534.6,13.8
SNAPKV,9.6,11.7,19.6,19.7,21.4,12.7,7.7,14.6,80.0,3796.0,11.8
PYRAMIDKV,10.9,18.0,28.5,9.6,16.9,8.2,6.4,14.0,80.0,3779.6,10.2
ADAKV,5.7,7.1,19.8,5.2,6.0,12.6,7.9,9.2,80.0,3882.4,15.0
OURS,11.0,14.3,27.7,11.6,19.2,13.7,8.5,15.2,80.0,6751.8,13.3
